Name: “Table 1 of 1 on page 110 of 162”,Name: “Table 1 of 1 on page 110 of 162”,Name: “Table 1 of 1 on page 110 of 162”,Name: “Table 1 of 1 on page 110 of 162”,Name: “Table 1 of 1 on page 110 of 162”
Table: 110,Table: 110,Table: 110,Table: 110,Table: 110
,,,,
,,,P a g e,| 108
,,,Ethanol,Ethanol
Continued,,,,
,,,≥0.01% W/V,≥0.01% W/V
Method of Death,,Total Cases,Yes,No
Tractor Trailer,,17,2,15
Train,,6,2,4
Truck Other,,10,3,7
Unknown,,24,3,21
Van,,38,8,30
Poisoned,,,,
Inhaled toxic agent (Carbon monoxide),Inhaled toxic agent (Carbon monoxide),2,0,2
Other (Eg. Ethylene glycol),,8,1,7
Traumatic Injury,,,,
Accidental discharge of firearm,,12,2,10
Handgun,,(2),(0),(2)
Rifle,,(4),(2),(2)
Shotgun,,(6),(0),(6)
Accidental cut injury,,1,0,1
Beatings/Blows,,7,0,7
Cave-in,,3,0,3
Falling object,,31,1,30
Jump,,1,0,1
Unknown/Other,,,,
Accidental - Unknown/Other,,9,1,8
TOTAL,,2297,552,1745
Virginia Department of Health,Office of the Chief Medical Examiner,,,November 2009
