Name: “Table 1 of 1 on page 40 of 162”,Name: “Table 1 of 1 on page 40 of 162”,Name: “Table 1 of 1 on page 40 of 162”,Name: “Table 1 of 1 on page 40 of 162”,Name: “Table 1 of 1 on page 40 of 162”,Name: “Table 1 of 1 on page 40 of 162”,Name: “Table 1 of 1 on page 40 of 162”,Name: “Table 1 of 1 on page 40 of 162”
Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40
,,,,,,,
,,,,,,P a g e,| 38
,,,Manner of Death,Manner of Death,,Continued,
,Accident,Homicide,Natural,Suicide,Undetermined,,
County/City of Death,Total,Total,Total,Total,Total,Total,
Frederick,15,1,16,8,2,42,
Fredericksburg,35,3,34,9,1,82,
Galax,5,0,7,2,0,14,
Giles,7,0,2,3,1,13,
Gloucester,14,1,10,9,0,34,
Goochland,6,2,5,1,0,14,
Grayson,2,7,2,5,0,16,
Greene,5,0,2,0,0,7,
Greensville,2,5,16,0,0,23,
Halifax,29,5,11,3,1,49,
Hampton,16,4,54,16,6,96,
Hanover,29,1,17,17,0,64,
Harrisonburg,2,0,3,3,3,11,
Henrico,72,15,58,24,2,171,
Henry,17,3,12,16,1,49,
Highland,2,0,2,0,0,4,
Hopewell,7,4,8,2,0,21,
Isle of Wight,9,0,5,0,0,14,
James City,14,1,18,7,0,40,
King and Queen,3,0,0,2,0,5,
King George,4,0,2,2,0,8,
King William,4,0,4,0,0,8,
Lancaster,3,1,4,4,0,12,
Lee,9,2,10,7,1,29,
Lexington,0,0,1,0,1,2,
Loudoun,21,3,23,11,3,61,
Louisa,9,1,10,2,1,23,
Lunenburg,8,2,2,1,1,14,
Lynchburg,53,5,22,18,5,103,
Madison,2,1,5,3,0,11,
Manassas,7,5,6,6,1,25,
Martinsville,20,3,22,1,2,48,
Mathews,1,0,1,2,0,4,
Mecklenburg,10,4,15,7,0,36,
Middlesex,4,0,1,1,0,6,
Montgomery,26,2,18,9,0,55,
Nelson,4,0,3,3,0,10,
New Kent,4,1,5,2,0,12,
Newport News,52,23,66,24,5,170,
Norfolk,121,40,106,36,16,319,
Northampton,8,0,12,0,0,20,
Northumberland,4,0,3,2,0,9,
Norton,2,0,4,2,1,9,
Nottoway,1,0,5,4,0,10,
Orange,7,1,7,5,1,21,
Page,2,0,1,7,1,11,
Patrick,10,0,5,4,0,19,
Petersburg,26,4,36,7,1,74,
Pittsylvania,28,3,13,6,1,51,
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,November 2009
