Name: “Table 1 of 1 on page 134 of 162”,Name: “Table 1 of 1 on page 134 of 162”,Name: “Table 1 of 1 on page 134 of 162”,Name: “Table 1 of 1 on page 134 of 162”,Name: “Table 1 of 1 on page 134 of 162”
Table: 134,Table: 134,Table: 134,Table: 134,Table: 134
,,,,
,,,P a g e,| 132
Continued,Class,Drug/Poison/Active Metabolite,Total,
,,MIRTAZAPINE,11,
,,NORDOXEPIN (Doxepin Metabolite),2,
,,NORFLUOXETINE (Fluoxetine Metabolite),3,
,,NORTRIPTYLENE (Triptylene Metabolite),27,
,,PAROXETINE,4,
,,SERTRALINE,12,
,,TRAZODONE,9,
,,VENLAFAXINE,16,
,,Anti-Depressant Total,185,
,Anti-Histamine,Anti-Histamine,,
,,CHLORPHENIRAMINE,13,
,,DIPHENHYDRAMINE,32,
,,DOXYLAMINE,10,
,,MECLIZINE,1,
,,Anti-Histamine Total,56,
,Anti-Psychotic,Anti-Psychotic,,
,,CHLORPROMAZINE,1,
,,CLOZAPINE,1,
,,OLANZAPINE,6,
,,PROCHLORPERAZINE,1,
,,QUETIAPINE,14,
,,Anti-Psychotic Total,23,
,Muscle Relaxant,Muscle Relaxant,,
,,CARISOPRODOL,11,
,,CYCLOBENZAPRINE,19,
,,METAXALONE,1,
,,METHOCARBAMOL,1,
,,Muscle Relaxant Total,32,
,Narcotic,,,
,,ACETYLMORPHINE (Heroin Metabolite),13,
,,CODEINE (Possible Heroin Metabolite),18,
,,FENTANYL,67,
,,HYDROCODONE,68,
,,HYDROMORPHONE,8,
,,MEPERIDINE,2,
,,METHADONE,137,
,,MORPHINE (Possible Heroin Metabolite),153,
,,NORMEPERIDINE,1,
,,NORPROPOXYPHENE,13,
,,OXYCODONE,117,
,,OXYMORPHONE,24,
,,PROPOXYPHENE,25,
,,Narcotic Total,646,
Virginia Department of Health,Virginia Department of Health,Office of the Chief Medical Examiner,November 2009,November 2009
