Name: “Table 1 of 1 on page 25 of 162”,Name: “Table 1 of 1 on page 25 of 162”,Name: “Table 1 of 1 on page 25 of 162”,Name: “Table 1 of 1 on page 25 of 162”,Name: “Table 1 of 1 on page 25 of 162”,Name: “Table 1 of 1 on page 25 of 162”,Name: “Table 1 of 1 on page 25 of 162”,Name: “Table 1 of 1 on page 25 of 162”,Name: “Table 1 of 1 on page 25 of 162”
Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25
,,,,,,,,
,,,,,,,P a g e,| 23
,"Table 7. Total Cases by Manner of Death by Gender by Age Group, 2008","Table 7. Total Cases by Manner of Death by Gender by Age Group, 2008","Table 7. Total Cases by Manner of Death by Gender by Age Group, 2008","Table 7. Total Cases by Manner of Death by Gender by Age Group, 2008","Table 7. Total Cases by Manner of Death by Gender by Age Group, 2008","Table 7. Total Cases by Manner of Death by Gender by Age Group, 2008",,
,,,Manner of Death,Manner of Death,Manner of Death,,,
,Age,,,,,,,
Gender,,Accident,Homicide,Natural,Suicide,Undetermined,Total,
,Group,,,,,,,
,"
    ",14,3,28,0,33,78,
,1-4,10,3,9,0,2,24,
,5-9,8,0,4,0,0,12,
,10-14,13,5,5,6,0,29,
,15-19,123,42,6,41,1,213,
,20-24,156,61,23,64,2,306,
,25-34,230,74,50,107,9,470,
,35-44,234,43,162,123,4,566,
Male,,,,,,,,
,45-54,273,43,377,169,13,875,
,55-64,176,12,387,94,4,673,
,65-74,113,7,174,71,5,370,
,75-84,119,4,115,51,1,290,
,85-94,73,1,37,14,2,127,
,95+,8,0,4,0,0,12,
,Unknown,0,1,0,0,2,3,
,Subtotal,1550,299,1381,740,78,4048,
,"
    ",14,8,27,0,29,78,
,1-4,8,3,2,0,2,15,
,5-9,8,1,1,0,0,10,
,10-14,6,1,1,2,1,11,
,15-19,38,7,9,9,0,63,
,20-24,42,13,13,12,1,81,
,25-34,77,20,30,34,9,170,
Female,35-44,103,17,82,52,6,260,
,45-54,113,9,126,40,6,294,
,55-64,70,10,134,41,1,256,
,65-74,57,4,83,7,2,153,
,75-84,100,5,79,6,2,192,
,85-94,98,1,53,6,0,158,
,95+,13,0,6,0,0,19,
,Subtotal,747,99,646,209,59,1760,
,Unknown,0,1,0,0,2,3,
Unknown,,,,,,,,
,Subtotal,0,1,0,0,2,3,
TOTAL,TOTAL,2297,399,2027,949,139,5811,
Virginia Department of Health,Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,November 2009,November 2009
