VIOLENT CRIME,2004,2005,+/-,%,2006,+/-,%,2007,+/-,%,2008,+/-,%
1. MURDER,32,60,28,88%,28,-32,-53%,50,22,79%,29,-21,-42%
2. FORCIBLE RAPE,81,89,8,10%,93,4,4%,67,-26,-28%,61,-6,-9%
3. ROBBERY,630,751,121,19%,838,87,12%,788,-50,-6%,906,118,15%
BUSINESS,557,619,62,11%,695,76,12%,637,-58,-8%,143,-494,-78%
INDIVIDUAL,73,132,59,81%,143,11,8%,151,8,6%,763,612,405%
4. AGGRAVATED ASSAULT,748,843,95,13%,781,-62,-7%,833,52,7%,747,-86,-10%
AGG. ASSAULT/AGG. ASSAULT-LEO,436,500,64,15%,427,-73,-15%,460,33,8%,398,-62,-13%
DOMESTIC,42,44,2,5%,53,9,20%,100,47,89%,83,-17,-17%
ALL OTHER AGG. ASSAULTS,270,299,29,11%,301,2,1%,273,-28,-9%,266,-7,-3%
TOTAL VIOLENT CRIME (1-4),1491,1743,252,17%,1740,-3,0%,1738,-2,0%,1743,5,0%
PROPERTY CRIME:,2004,2005,+/-,%,2006,+/-,%,2007,+/-,%,2008,+/-,%
5. BURGLARY,1472,1779,307,21%,1592,-187,-11%,1635,43,3%,1639,4,0%
COMMERCIAL,222,457,235,106%,296,-161,-35%,299,3,1%,238,-61,-20%
NONRESIDENCE,155,213,58,37%,172,-41,-19%,293,121,70%,209,-84,-29%
RESIDENCE,984,1109,125,13%,1124,15,1%,1043,-81,-7%,1192,149,14%
6. LARCENY,9994,10180,186,2%,9362,-818,-8%,8995,-367,-4%,9469,474,5%
FROM/PARTS FROM AUTO,4584,5050,466,10%,4446,-604,-12%,4709,263,6%,4986,277,6%
ALL OTHER LARCENIES,5410,5130,-280,-5%,4916,-214,-4%,4286,-630,-13%,4483,197,5%
7. STOLEN VEHICLE,1208,1142,-66,-5%,999,-143,-13%,960,-39,-4%,983,23,2%
TOTAL PROPERTY CRIME (5-7),12674,13101,427,3%,11953,-1148,-9%,11590,-363,-3%,12091,501,4%
TOTAL CRIME,14165,14844,,5%,13693,,-8%,13328,,-3%,13834,,4%
