Name: “Table 1 of 1 on page 131 of 141”,Name: “Table 1 of 1 on page 131 of 141”,Name: “Table 1 of 1 on page 131 of 141”,Name: “Table 1 of 1 on page 131 of 141”,Name: “Table 1 of 1 on page 131 of 141”,Name: “Table 1 of 1 on page 131 of 141”
Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129
,,,,,
122,•,Offender Risk Assessment in Virginia,,,
,,*,Appendix C,Appendix C,
,,Recidivist Events Occurring During the Diversion Period,Recidivist Events Occurring During the Diversion Period,Recidivist Events Occurring During the Diversion Period,
Total Felony ........................ 69,Total Felony ........................ 69,Total Technical ...................... 54,Total Technical ...................... 54,Total Technical ...................... 54,
Total Misdemeanor ............. 70,Total Misdemeanor ............. 70,Total Recidivist Events ......... 193,Total Recidivist Events ......... 193,Total Recidivist Events ......... 193,
Drug,Drug,,,Person,
Felony .................................................................... 18,Felony .................................................................... 18,Felony .................................................................... 18,Felony .................................................................... 18,Felony ...................................................................... 6,Felony ...................................................................... 6
"Manufact., Sale, Poss. of a Controlled Substance","Manufact., Sale, Poss. of a Controlled Substance",,6,Possession of a Firearm in the Course of a Felony,2
Possession of a Controlled Substance,Possession of a Controlled Substance,,5,Abduction & Kidnapping,1
Poss. of Methamphetamine w/ Intent to Distribute,Poss. of Methamphetamine w/ Intent to Distribute,,3,Assault with a Deadly Weapon - Serious Injury,1
Poss. of Cocaine with Intent to Distribute,Poss. of Cocaine with Intent to Distribute,,2,Felonious Assault,1
Poss. of Marijuana with Intent to Distribute,Poss. of Marijuana with Intent to Distribute,,1,Carjacking,1
Other Felony Drug,Other Felony Drug,,1,,
Misdemeanor ........................................................... 4,Misdemeanor ........................................................... 4,Misdemeanor ........................................................... 4,Misdemeanor ........................................................... 4,Misdemeanor .........................................................,11
Possession of Marijuana,Possession of Marijuana,,2,Assault & Battery of a Family Member,5
Other Misdemeanor Drug,Other Misdemeanor Drug,,2,Assault,2
,,,,Assault and Battery,2
,,,,Annoying Phone Calls,1
,,,,Domestic Assault,1
Property,Property,,,Other,
Felony .................................................................... 28,Felony .................................................................... 28,Felony .................................................................... 28,Felony .................................................................... 28,Felony ....................................................................,17
Larceny - 3rd or Later Offense,Larceny - 3rd or Later Offense,,8,Forging Public Records,4
Grand Larceny,Grand Larceny,,6,Fugitive from Justice,4
Unauthorized Use of a Motor Vehicle,Unauthorized Use of a Motor Vehicle,,4,"Forging, Uttering",3
Issues Two or More Bad Checks in 90 Days,Issues Two or More Bad Checks in 90 Days,,3,Possession of a Firearm by a Felon,1
Fraud,Fraud,,2,Conspiracy,1
Breaking & Entering w/Intent to Commit a Felony,Breaking & Entering w/Intent to Commit a Felony,,2,Escape without Force by a Felon,1
Concealment over $200,Concealment over $200,,1,Felony Contempt of Court,1
Hit and Run with Property Damage,Hit and Run with Property Damage,,1,Felony Failure to Appear,1
Embezzlement over $200,Embezzlement over $200,,1,Other Felony,1
Misdemeanor ......................................................... 19,Misdemeanor ......................................................... 19,Misdemeanor ......................................................... 19,Misdemeanor ......................................................... 19,Misdemeanor .........................................................,36
Trespass,Trespass,,7,Failure to Appear,14
Misdemeanor Larceny,Misdemeanor Larceny,,6,Contempt of Court,13
Possession of Stolen Goods,Possession of Stolen Goods,,3,Disorderly Conduct,3
Issues Bad Checks Under $ 200,Issues Bad Checks Under $ 200,,1,Obstructing Justice,2
Destruction of Private Property,Destruction of Private Property,,1,Contributing to the Delinquency of a Minor,1
Shoplifting,Shoplifting,,1,Filing a False Police Report,1
,,,,Other Misdemeanor,2
,,,,Technical ................................................................ 54,Technical ................................................................ 54
,,,,Probation/Parole Violation,36
,,,,Probation/Suspended Sentence Revocation,18
