Name: “Table 1 of 1 on page 58 of 87”,Name: “Table 1 of 1 on page 58 of 87”,Name: “Table 1 of 1 on page 58 of 87”,Name: “Table 1 of 1 on page 58 of 87”,Name: “Table 1 of 1 on page 58 of 87”,Name: “Table 1 of 1 on page 58 of 87”,Name: “Table 1 of 1 on page 58 of 87”,Name: “Table 1 of 1 on page 58 of 87”,Name: “Table 1 of 1 on page 58 of 87”
Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58
,,,,,,,,
"Table 19. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Table 19. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Table 19. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Table 19. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Table 19. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Table 19. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Table 19. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Table 19. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Table 19. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003"
Method of Death,,,,Total Cases,Total Cases,Autopsied,Autopsied,
Shot self with firearm,Shot self with firearm,,,,15,,15,
- Handgun,,,,,(8),,(8),
- Shotgun,,,,,(4),,(4),
- Rifle,,,,,(2),,(2),
- Unspecified Firearm,- Unspecified Firearm,,,,(1),,(1),
Hanged self,,,,,8,,5,
Jumped from height,,,,,2,,2,
Poisoned self with drugs,Poisoned self with drugs,,,,2,,2,
Asphyxia,,,,,1,,1,
Burned self,,,,,1,,1,
Carbon Monoxide Poisoning,Carbon Monoxide Poisoning,,,,1,,0,
Total,,,,,30,,26,
"Figure 47. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Figure 47. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Figure 47. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Figure 47. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Figure 47. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Figure 47. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Figure 47. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Figure 47. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003","Figure 47. Suicide Deaths of Children, 18 Years and Younger, by Method of Death, 2003"
Unspecified Firearm,1,,,,,,,
Fire,1,,,,,,,
Poisoning,,2,,,,,,
Fall,,2,,,,,,
Asphyxia,,2,,,,,,
Rifle,,2,,,,,,
Shotgun,,,,4,,,,
Hanging,,,,,,,,8
Handgun,,,,,,,,8
0,1,2,3,4,5,6,7,8
,,,,"Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004"
,,,,,,,,Page 53
