Name: “Table 1 of 1 on page 77 of 87”,Name: “Table 1 of 1 on page 77 of 87”,Name: “Table 1 of 1 on page 77 of 87”,Name: “Table 1 of 1 on page 77 of 87”,Name: “Table 1 of 1 on page 77 of 87”,Name: “Table 1 of 1 on page 77 of 87”,Name: “Table 1 of 1 on page 77 of 87”,Name: “Table 1 of 1 on page 77 of 87”,Name: “Table 1 of 1 on page 77 of 87”,Name: “Table 1 of 1 on page 77 of 87”,Name: “Table 1 of 1 on page 77 of 87”,Name: “Table 1 of 1 on page 77 of 87”
Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77
,,,,,,,,,,,
,"Figure 69. Drug Caused Deaths by Class of Compounds Present, 2003","Figure 69. Drug Caused Deaths by Class of Compounds Present, 2003","Figure 69. Drug Caused Deaths by Class of Compounds Present, 2003","Figure 69. Drug Caused Deaths by Class of Compounds Present, 2003","Figure 69. Drug Caused Deaths by Class of Compounds Present, 2003","Figure 69. Drug Caused Deaths by Class of Compounds Present, 2003","Figure 69. Drug Caused Deaths by Class of Compounds Present, 2003","Figure 69. Drug Caused Deaths by Class of Compounds Present, 2003","Figure 69. Drug Caused Deaths by Class of Compounds Present, 2003","Figure 69. Drug Caused Deaths by Class of Compounds Present, 2003",
400,,,,,,,,,,,
340,,,,,,,,,,,
350,,,,,,,,,,,
300,,,,,,,,,,,
250,,,,,,,,,,,
200,,,,,,,,,,,
150,,,,,,,,,,,
100,,,,,,,,,,,
,79,,,,,,,,,,
,,53,,,,,,,,,
,,,38,,,,,,,,
50,,,,,,,,,,,
,,,,21,,,,,,,
,,,,,12,,,,,,
,,,,,,5,5,4,3,2,1
0,,,,,,,,,,,
Narcotic,Stimulant,Anti-,Minor,Other,Analgesic,Alcohol,Major,Sedative,Barbituate,Anti-Arrythmic,Anti-
,,depressant,Tranquilizer,,,,Tranquilizer,,,,Convulsant
,"Table 28. Drug Caused Deaths by Manner of Death by Age Group, 2003","Table 28. Drug Caused Deaths by Manner of Death by Age Group, 2003","Table 28. Drug Caused Deaths by Manner of Death by Age Group, 2003","Table 28. Drug Caused Deaths by Manner of Death by Age Group, 2003","Table 28. Drug Caused Deaths by Manner of Death by Age Group, 2003","Table 28. Drug Caused Deaths by Manner of Death by Age Group, 2003","Table 28. Drug Caused Deaths by Manner of Death by Age Group, 2003","Table 28. Drug Caused Deaths by Manner of Death by Age Group, 2003","Table 28. Drug Caused Deaths by Manner of Death by Age Group, 2003","Table 28. Drug Caused Deaths by Manner of Death by Age Group, 2003",
,,,,,Manner of Death,Manner of Death,,,,,
Age at Death,Age at Death,,Accident,Homicide*,Homicide*,Suicide,Undetermined,Undetermined,Undetermined,Total,
10-14,10-14,,0,,0,1,,0,,1,
15-19,15-19,,17,,0,2,,0,,19,
20-24,20-24,,31,,0,3,,0,,34,
25-34,25-34,,104,,0,20,,2,,126,
35-44,35-44,,164,,0,34,,3,,201,
45-54,45-54,,106,,0,26,,2,,134,
55-64,55-64,,14,,0,15,,2,,31,
65-74,65-74,,3,,0,8,,1,,12,
75-84,75-84,,0,,0,3,,0,,3,
85-94,85-94,,0,,0,2,,0,,2,
Total,Total,,439,,0,114,,10,,563,
* excludes judicial execution,* excludes judicial execution,* excludes judicial execution,,,,,,,,,
,,,,,,"Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004"
,,,,,,,,,,,Page 72
