Name: “Table 1 of 1 on page 27 of 87”,Name: “Table 1 of 1 on page 27 of 87”,Name: “Table 1 of 1 on page 27 of 87”
Table: 27,Table: 27,Table: 27
,,
"Table 9. Total Cases by Cause of Death, 2003","Table 9. Total Cases by Cause of Death, 2003","Table 9. Total Cases by Cause of Death, 2003"
Natural Deaths,Total Cases,Autopsied
Acquired Immune Deficiency Syndrome,12,1
Alzheimer’s Disease,3,1
Aneurysm,28,18
Arthritis,1,0
Aspiration,9,2
Asthma,15,9
Blood disorders,3,1
Carcinoma,71,21
Cerebrovascular,26,11
Chronic Obstructive Pulmonary Disease,30,6
Congenital Defect,11,10
Dehydration,4,3
Diabetes,36,16
Emboli,58,37
Epilepsy,25,15
Ethanolism,60,12
Gastrointestinal Hemorrhage,50,14
Heart Disease,"1,424",405
Hepatic failure,41,14
Intrauterine Fetal Death,8,8
Leukemia,3,2
Maternal and Fetal Complications of Birth,13,12
Medical Treatment,9,6
Meningitis,1,0
Obesity,7,3
Obstruction (blockage),4,2
Pancreas,4,4
Pneumonia,84,43
Pulmonary Edema,1,1
Renal Failure,7,1
Respiratory Distress Syndrome,9,1
Sepsis,36,15
Spontaneous Hemorrhage,1,1
Sudden Infant Death Syndrome,82,81
Natural - Other,73,38
Subtotal,"2,249",814
Unnatural Deaths,,
Asphyxia,93,58
Carbon Monoxide Poisoning,124,75
Child Abuse,4,4
Drowning,143,94
Electrocution,12,10
Ethanol Poisoning,33,21
Exposure,31,19
Gunshot Wound,795,785
Hanging,140,59
Head and Neck Injuries,573,90
Judicial Execution,2,2
Multiple Injuries,763,125
Stab Wound,53,50
Subdural Hematoma,137,12
Substance Poisoning,586,512
Thermal Injuries (burns),32,16
Unnatural - Other,21,12
Subtotal,"3,542","1,944"
Undetermined Deaths,,
Undetermined After Autopsy and/or Investigation,30,29
Subtotal,30,29
TOTAL,5821,2787
,"Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004"
,,Page 22
