Name: “Table 1 of 1 on page 51 of 87”,Name: “Table 1 of 1 on page 51 of 87”,Name: “Table 1 of 1 on page 51 of 87”
Table: 51,Table: 51,Table: 51
,,
"Table 17. Deaths of Children, 18 Years and Younger, by Cause of Death, 2003","Table 17. Deaths of Children, 18 Years and Younger, by Cause of Death, 2003","Table 17. Deaths of Children, 18 Years and Younger, by Cause of Death, 2003"
Natural Deaths,Total Cases,Autopsied
Asthma,3,3
Congenital Defect,6,5
Dehydration,2,2
Diabetes,1,1
Emboli,1,1
Epilepsy,1,1
Heart Disease,12,11
Intrauterine Fetal Death,7,7
Leukemia,1,1
Maternal and Fetal Complications of Birth,10,10
Medical Treatment,2,1
Natural - Other,20,20
Obesity,1,1
Obstruction (blockage),1,1
Pneumonia,7,6
Pulmonary Edema,1,1
Renal Failure,1,1
Sepsis,5,5
SIDS,82,81
Subtotal,164,159
Unnatural Deaths,,
Asphyxia,20,17
Carbon Monoxide Poisoning,20,10
Child Abuse,4,4
Drowning,28,13
Ethanol Intoxication,2,2
Exposure,3,3
Gunshot Wound,52,51
Hanging,11,6
Head and Neck Injuries,79,13
Multiple Injuries,60,7
Stab Wound,3,3
Subdural Hematoma,2,0
Substance Poisoning,8,8
Unnatural - Other,4,3
Subtotal,296,140
Undetermined After Autopsy and/or Investigation,13,13
Total,473,312
,"Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004"
,,Page 46
