Name: “Table 1 of 1 on page 25 of 87”,Name: “Table 1 of 1 on page 25 of 87”,Name: “Table 1 of 1 on page 25 of 87”,Name: “Table 1 of 1 on page 25 of 87”,Name: “Table 1 of 1 on page 25 of 87”,Name: “Table 1 of 1 on page 25 of 87”,Name: “Table 1 of 1 on page 25 of 87”
Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25
,,,,,,
"Table 8. Total Cases by Locality of Residence, 2003 ~ continued","Table 8. Total Cases by Locality of Residence, 2003 ~ continued","Table 8. Total Cases by Locality of Residence, 2003 ~ continued","Table 8. Total Cases by Locality of Residence, 2003 ~ continued","Table 8. Total Cases by Locality of Residence, 2003 ~ continued","Table 8. Total Cases by Locality of Residence, 2003 ~ continued",
,,,Manner of Death,Manner of Death,,
Locality of Residence,Accident,Homicide,Natural,Suicide,Undetermined,Total
Lee,20,2,12,5,1,40
Lexington,2,0,0,0,0,2
Loudoun,36,1,21,18,0,76
Louisa,7,1,7,4,1,20
Lunenburg,5,0,4,2,0,11
Lynchburg,24,4,12,5,0,45
Madison,4,2,6,1,0,13
Manassas,11,2,3,2,1,19
Martinsville,6,2,5,2,0,15
Mathews,6,0,2,0,0,8
Mecklenburg,14,1,14,4,0,33
Middlesex,8,1,3,2,0,14
Montgomery,21,2,15,6,2,46
Nelson,6,0,3,5,0,14
New Kent,10,1,0,1,0,12
Newport News,37,26,67,22,1,153
Norfolk,46,37,104,23,3,213
Northampton,8,0,4,1,0,13
Northumberland,6,0,3,2,1,12
Norton,2,0,1,1,0,4
Nottoway,14,0,18,1,0,33
Orange,9,2,11,5,0,27
Page,11,0,6,5,1,23
Patrick,7,0,2,3,0,12
Petersburg,15,5,25,2,1,48
Pittsylvania,22,3,18,8,1,52
Poquoson,3,0,2,1,0,6
Portsmouth,30,14,56,13,5,118
Powhatan,8,0,13,2,1,24
Prince Edward,7,0,4,1,1,13
Prince George,7,1,4,4,0,16
Prince William,70,11,40,23,2,146
Pulaski,16,0,8,6,1,31
Radford,5,0,2,1,0,8
Rappahannock,5,1,1,0,0,7
Richmond City,105,87,115,17,1,325
Richmond,3,0,4,2,0,9
Roanoke City,43,12,38,19,1,113
Roanoke,24,2,12,10,0,48
Rockbridge,9,2,8,2,0,21
Rockingham,24,0,20,4,0,48
Russell,25,1,9,5,0,40
Salem,6,3,7,5,0,21
Scott,8,1,1,3,0,13
Shenandoah,10,1,12,9,0,32
Smyth,10,0,2,3,0,15
South Boston,1,0,3,0,0,4
Southampton,6,1,5,2,0,14
Spotsylvania,25,1,19,15,1,61
Stafford,25,5,16,6,2,54
Staunton,7,2,10,4,0,23
Suffolk,20,3,23,8,1,55
Surry,3,0,4,0,0,7
Sussex,6,2,11,3,0,22
Tazewell,21,2,14,9,0,46
Virginia Beach,75,31,116,43,6,271
Warren,16,0,12,1,0,29
Washington,20,2,21,7,0,50
Waynesboro,2,0,5,2,1,10
Westmoreland,5,0,5,3,0,13
Williamsburg,5,1,10,4,0,21
Winchester,9,0,5,6,1,21
Wise,25,1,12,7,1,46
Wythe,5,0,2,7,1,15
York,11,0,12,7,0,30
Unknown,15,6,15,4,4,44
Out of Country,1,1,0,0,0,2
Out of State,217,22,182,23,6,450
Total,2305,459,2181,804,72,5821
,,,"Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004"
,,,,,,Page 20
