Name: “Table 1 of 1 on page 79 of 87”,Name: “Table 1 of 1 on page 79 of 87”
Table: 79,Table: 79
,
"Table 30. Drug/Physiologically Active Compounds Present in Decedents, 2003","Table 30. Drug/Physiologically Active Compounds Present in Decedents, 2003"
Drug/Compound,Total
Alcohol,
ETHANOL,4
ISOPROPANOL,1
Alcohol Total,5
Analgesic,
ACETAMINOPHEN,7
SALICYLATE,1
TRAMADOL,4
Analgesic Total,12
Anti-Arrythmic/Anti-Hypertensive,
FLECAINIDE,1
VERAPAMIL,1
Anti-Arrythmic/Anti-Hypertensive Total,2
Anti-Convulsant,
VALPROIC ACID,1
Anti-Convulsant Total,1
Anti-Depressant,
AMITRIPTYLINE,15
BUPROPION (WELLBUTRIN),4
CITALOPRAM,8
DESIPRAMINE,1
DOXEPIN,4
FLUVOXAMINE,1
IMIPRAMINE,1
NORTRIPTYLENE,1
OLANZAPINE,5
PAROXETINE,6
SERTRALINE,6
TRAZODONE,1
Anti-depressant Total,53
Barbituate,
BUTALBITAL,2
PHENOBARBITAL,1
Barbituate Total,3
Major Tranquilizer,
PHENCYCLIDINE,1
QUETIAPINE,4
Major Tranquilizer Total,5
Minor Tranquilizer,
ALPRAZOLAM,10
CARISOPRODOL,2
DIAZEPAM,6
DIPHENHYDRAMINE,12
FLUOXETINE,3
MEPROBAMATE,1
NORDIAZEPAM,3
ZOLPIDEM,2
Minor Tranquilizer Total,39
Narcotic,
CODEINE,8
,"Virginia Department of Health, Office of the Chief Medical Examiner  November 2004"
,Page 74
