Name: “Table 1 of 1 on page 37 of 87”,Name: “Table 1 of 1 on page 37 of 87”,Name: “Table 1 of 1 on page 37 of 87”,Name: “Table 1 of 1 on page 37 of 87”,Name: “Table 1 of 1 on page 37 of 87”,Name: “Table 1 of 1 on page 37 of 87”,Name: “Table 1 of 1 on page 37 of 87”,Name: “Table 1 of 1 on page 37 of 87”,Name: “Table 1 of 1 on page 37 of 87”,Name: “Table 1 of 1 on page 37 of 87”,Name: “Table 1 of 1 on page 37 of 87”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,,,,,,,
,,"Table 12. Suicide Deaths by Method of Death, 2003","Table 12. Suicide Deaths by Method of Death, 2003","Table 12. Suicide Deaths by Method of Death, 2003","Table 12. Suicide Deaths by Method of Death, 2003","Table 12. Suicide Deaths by Method of Death, 2003","Table 12. Suicide Deaths by Method of Death, 2003","Table 12. Suicide Deaths by Method of Death, 2003",,
Method of Death,Method of Death,Method of Death,,,,,Total Case,Total Case,Autopsied,
Asphyxia,,,,,,,,,,
Drowned self,Drowned self,Drowned self,,,,,,19,16,
Hanged self,Hanged self,Hanged self,,,,,,137,57,
Suffocated self,Suffocated self,Suffocated self,,,,,,14,6,
Drug Use,,,,,,,,,,
"Ingested, injected or inhaled medication","Ingested, injected or inhaled medication","Ingested, injected or inhaled medication","Ingested, injected or inhaled medication","Ingested, injected or inhaled medication","Ingested, injected or inhaled medication",,,120,88,
,Fall,,,,,,,,,
Jumped from height,Jumped from height,Jumped from height,Jumped from height,,,,,14,9,
,Fire,,,,,,,,,
Burned self,Burned self,,,,,,,3,1,
Smoke: Inhalation (Carbon Monoxide),Smoke: Inhalation (Carbon Monoxide),Smoke: Inhalation (Carbon Monoxide),Smoke: Inhalation (Carbon Monoxide),Smoke: Inhalation (Carbon Monoxide),,,,3,3,
Poisoned,,,,,,,,,,
Inhaled toxic agent (Carbon Monoxide),Inhaled toxic agent (Carbon Monoxide),Inhaled toxic agent (Carbon Monoxide),Inhaled toxic agent (Carbon Monoxide),Inhaled toxic agent (Carbon Monoxide),Inhaled toxic agent (Carbon Monoxide),,,27,7,
Traumatic Injury,Traumatic Injury,Traumatic Injury,,,,,,,,
Cut/Stabbed self,Cut/Stabbed self,Cut/Stabbed self,,,,,,6,4,
Shot self with firearm,Shot self with firearm,Shot self with firearm,Shot self with firearm,,,,,448,442,
- Handgun,- Handgun,,,,,,,(313),(310),
- Rifle,- Rifle,,,,,,,(46),(44),
- Shotgun,- Shotgun,,,,,,,(69),(68),
- Unspecified,- Unspecified,- Unspecified,,,,,,(20),(20),
Traumatic - Other,Traumatic - Other,Traumatic - Other,,,,,,2,1,
Vehicular,Vehicular,,,,,,,,,
Driver of motor vehicle,Driver of motor vehicle,Driver of motor vehicle,Driver of motor vehicle,,,,,1,0,
Vehicular - Other,Vehicular - Other,Vehicular - Other,,,,,,7,1,
Unknown,,,,,,,,,,
Suicide - Other,Suicide - Other,Suicide - Other,,,,,,3,2,
,Total,,,,,,,804,637,
,,"Figure 23. Suicide Deaths by Method of Death, 2003","Figure 23. Suicide Deaths by Method of Death, 2003","Figure 23. Suicide Deaths by Method of Death, 2003","Figure 23. Suicide Deaths by Method of Death, 2003","Figure 23. Suicide Deaths by Method of Death, 2003","Figure 23. Suicide Deaths by Method of Death, 2003","Figure 23. Suicide Deaths by Method of Death, 2003",,
,3,,,,,,,,,
,Unknown,,,,,,,,,
,,6,,,,,,,,
,Fire,,,,,,,,,
,Traumatic Injury,8,,,,,,,,
,Motor Vehicle,8,,,,,,,,
,Fall,14,,,,,,,,
,Poisoned,27,,,,,,,,
,Drug Use,,,120,,,,,,
,,,,,170,,,,,
,Asphyxia,,,,,,,,,
,Firearm,,,,,,,,,448
,0,50,100,150,200,250,300,350,400,450
,,,,,"Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004"
,,,,,,,,,,Page 32
