Name: “Table 1 of 1 on page 73 of 87”,Name: “Table 1 of 1 on page 73 of 87”,Name: “Table 1 of 1 on page 73 of 87”,Name: “Table 1 of 1 on page 73 of 87”,Name: “Table 1 of 1 on page 73 of 87”,Name: “Table 1 of 1 on page 73 of 87”,Name: “Table 1 of 1 on page 73 of 87”,Name: “Table 1 of 1 on page 73 of 87”,Name: “Table 1 of 1 on page 73 of 87”,Name: “Table 1 of 1 on page 73 of 87”,Name: “Table 1 of 1 on page 73 of 87”,Name: “Table 1 of 1 on page 73 of 87”,Name: “Table 1 of 1 on page 73 of 87”,Name: “Table 1 of 1 on page 73 of 87”
Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73
,,,,,,,,,,,,,
SECTION 6: MOTOR VEHICLE RELATED DEATHS,SECTION 6: MOTOR VEHICLE RELATED DEATHS,SECTION 6: MOTOR VEHICLE RELATED DEATHS,SECTION 6: MOTOR VEHICLE RELATED DEATHS,SECTION 6: MOTOR VEHICLE RELATED DEATHS,SECTION 6: MOTOR VEHICLE RELATED DEATHS,SECTION 6: MOTOR VEHICLE RELATED DEATHS,SECTION 6: MOTOR VEHICLE RELATED DEATHS,SECTION 6: MOTOR VEHICLE RELATED DEATHS,SECTION 6: MOTOR VEHICLE RELATED DEATHS,SECTION 6: MOTOR VEHICLE RELATED DEATHS,SECTION 6: MOTOR VEHICLE RELATED DEATHS,,
"In 22.0 percent of deaths involving a motor vehicle, the decedent had a measured blood alcohol level","In 22.0 percent of deaths involving a motor vehicle, the decedent had a measured blood alcohol level","In 22.0 percent of deaths involving a motor vehicle, the decedent had a measured blood alcohol level","In 22.0 percent of deaths involving a motor vehicle, the decedent had a measured blood alcohol level","In 22.0 percent of deaths involving a motor vehicle, the decedent had a measured blood alcohol level","In 22.0 percent of deaths involving a motor vehicle, the decedent had a measured blood alcohol level","In 22.0 percent of deaths involving a motor vehicle, the decedent had a measured blood alcohol level","In 22.0 percent of deaths involving a motor vehicle, the decedent had a measured blood alcohol level","In 22.0 percent of deaths involving a motor vehicle, the decedent had a measured blood alcohol level","In 22.0 percent of deaths involving a motor vehicle, the decedent had a measured blood alcohol level","In 22.0 percent of deaths involving a motor vehicle, the decedent had a measured blood alcohol level","In 22.0 percent of deaths involving a motor vehicle, the decedent had a measured blood alcohol level","In 22.0 percent of deaths involving a motor vehicle, the decedent had a measured blood alcohol level","In 22.0 percent of deaths involving a motor vehicle, the decedent had a measured blood alcohol level"
at or above the legal limit of 0.08 percent.,at or above the legal limit of 0.08 percent.,at or above the legal limit of 0.08 percent.,at or above the legal limit of 0.08 percent.,at or above the legal limit of 0.08 percent.,,,,,,,,,
"Figure 62. Motor Vehicle Deaths with the Presence of Ethanol by Gender by Age, 2003","Figure 62. Motor Vehicle Deaths with the Presence of Ethanol by Gender by Age, 2003","Figure 62. Motor Vehicle Deaths with the Presence of Ethanol by Gender by Age, 2003","Figure 62. Motor Vehicle Deaths with the Presence of Ethanol by Gender by Age, 2003","Figure 62. Motor Vehicle Deaths with the Presence of Ethanol by Gender by Age, 2003","Figure 62. Motor Vehicle Deaths with the Presence of Ethanol by Gender by Age, 2003","Figure 62. Motor Vehicle Deaths with the Presence of Ethanol by Gender by Age, 2003","Figure 62. Motor Vehicle Deaths with the Presence of Ethanol by Gender by Age, 2003","Figure 62. Motor Vehicle Deaths with the Presence of Ethanol by Gender by Age, 2003","Figure 62. Motor Vehicle Deaths with the Presence of Ethanol by Gender by Age, 2003","Figure 62. Motor Vehicle Deaths with the Presence of Ethanol by Gender by Age, 2003","Figure 62. Motor Vehicle Deaths with the Presence of Ethanol by Gender by Age, 2003","Figure 62. Motor Vehicle Deaths with the Presence of Ethanol by Gender by Age, 2003","Figure 62. Motor Vehicle Deaths with the Presence of Ethanol by Gender by Age, 2003"
,,,,Measured Ethanol > 0.01%,Measured Ethanol > 0.01%,Measured Ethanol > 0.01%,Measured Ethanol > 0.01%,Measured Ethanol > 0.01%,,,,,
70,,,,,,,,,,,,,
,,,,,,,61,,,,,,
60,,,,,,,,,,,,,
,,,,,,54,,,,,,,
50,,,,,,,,,,,,,
,,,,,40,,,,,,,,
40,,,,,,,,,,,,,
,,,,,,,,31,,,,,
30,,,,,,,,,,,,,
20,,,,,,,,,,,,,
,,,,17,,,,,,,,,
,,,,,12,,,,,,,,
,,,,,,11,,,11,,,,
,,,,,,,,,,10,,,
10,,,,,,,,,,,,,
,,,,,,,7,,,,,,
,,,,,,,,6,,,,,
,,,,4,,,,,,,,,
,,,,,,,,,,3,,,
,,,,,,,,,2,,2,,
,,1,,,,,,,,,,1,
0,,,,,,,,,,,,,
0,1-4,5-9,10-14,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85-94,95+
,,,,,,Female,Male,,,,,,
,Figure 63. Proportion of Motor Vehicle Deaths with Ethanol Present by,Figure 63. Proportion of Motor Vehicle Deaths with Ethanol Present by,Figure 63. Proportion of Motor Vehicle Deaths with Ethanol Present by,Figure 63. Proportion of Motor Vehicle Deaths with Ethanol Present by,Figure 63. Proportion of Motor Vehicle Deaths with Ethanol Present by,Figure 63. Proportion of Motor Vehicle Deaths with Ethanol Present by,Figure 63. Proportion of Motor Vehicle Deaths with Ethanol Present by,Figure 63. Proportion of Motor Vehicle Deaths with Ethanol Present by,Figure 63. Proportion of Motor Vehicle Deaths with Ethanol Present by,Figure 63. Proportion of Motor Vehicle Deaths with Ethanol Present by,Figure 63. Proportion of Motor Vehicle Deaths with Ethanol Present by,Figure 63. Proportion of Motor Vehicle Deaths with Ethanol Present by,
,,"Race/Ethnicity, 2003 - Measured Ethanol > 0.01%","Race/Ethnicity, 2003 - Measured Ethanol > 0.01%","Race/Ethnicity, 2003 - Measured Ethanol > 0.01%","Race/Ethnicity, 2003 - Measured Ethanol > 0.01%","Race/Ethnicity, 2003 - Measured Ethanol > 0.01%","Race/Ethnicity, 2003 - Measured Ethanol > 0.01%","Race/Ethnicity, 2003 - Measured Ethanol > 0.01%","Race/Ethnicity, 2003 - Measured Ethanol > 0.01%","Race/Ethnicity, 2003 - Measured Ethanol > 0.01%",,,
,,,,Other,Other,Asian,,,,,,,
,,,,,6%,1%,,,Black,,,,
,,,,,,,,,26%,,,,
,,,,,,,,,,Hawaiian/Pacific,Hawaiian/Pacific,Hawaiian/Pacific,
,,,,,,,,,,,Islander,Islander,
,,,,,,,,,,,0%,,
,,,White,,,,,,,,,,
,,,67%,,,,,,,,,,
,,,,,,"Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004"
,,,,,,,,,,,,,Page 68
