Name: “Table 1 of 1 on page 33 of 87”,Name: “Table 1 of 1 on page 33 of 87”,Name: “Table 1 of 1 on page 33 of 87”,Name: “Table 1 of 1 on page 33 of 87”,Name: “Table 1 of 1 on page 33 of 87”,Name: “Table 1 of 1 on page 33 of 87”,Name: “Table 1 of 1 on page 33 of 87”
Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33
,,,,,,
"Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2003","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2003","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2003","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2003","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2003","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2003","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2003"
,,,Year of Death,,,
Locality of Death,1999,2000,2001,2002,2003,Total
Accomack,13,17,17,14,16,77
Albemarle,15,6,7,22,26,76
Alexandria,19,16,17,20,14,86
Alleghany,4,3,3,4,3,17
Amelia,4,5,3,5,2,19
Amherst,9,4,5,3,5,26
Appomattox,2,1,3,6,2,14
Arlington,28,35,34,44,31,172
Augusta,16,18,24,24,26,108
Bath,3,1,2,3,6,15
Bedford City,1,1,5,2,2,11
Bedford,15,9,16,16,14,70
Bland,2,1,8,4,2,17
Botetourt,9,7,9,8,6,39
Bristol,1,1,0,2,6,10
Brunswick,8,8,7,9,5,37
Buchanan,11,10,16,19,20,76
Buckingham,8,7,8,5,8,36
Buena Vista,0,0,0,1,0,1
Campbell,11,12,7,12,15,57
Caroline,9,12,8,16,6,51
Carroll,7,9,5,5,8,34
Charles City,2,2,2,6,4,16
Charlotte,10,4,5,3,4,26
Charlottesville,74,60,70,71,83,358
Chesapeake,26,24,30,44,38,162
Chesterfield,43,43,28,46,50,210
Clarke,1,2,3,2,6,14
Colonial Heights,0,3,1,0,1,5
Covington,3,0,0,0,2,5
Craig,0,0,0,3,1,4
Culpepper,5,8,12,8,12,45
Cumberland,6,4,1,0,2,13
Danville,17,23,22,16,21,99
Dickenson,4,2,7,9,7,29
Dinwiddie,7,10,5,6,8,36
Emporia,8,4,4,7,8,31
Essex,6,5,10,6,8,35
Fairfax City,3,0,2,2,3,10
Fairfax,171,201,196,235,232,1035
Falls Church,0,1,1,0,0,2
Fauquier,24,11,17,11,20,83
Floyd,5,8,7,6,11,37
Fluvanna,2,4,2,2,11,21
Franklin City,0,0,1,0,1,2
Franklin,17,9,19,14,16,75
Frederick,0,2,2,6,15,25
Fredericksburg,20,27,18,26,39,130
Galax,5,5,8,6,3,27
Giles,6,5,6,4,12,33
Gloucester,8,7,12,4,11,42
Goochland,3,4,3,2,8,20
Grayson,6,7,2,3,4,22
Greene,6,3,2,5,3,19
Greensville,3,4,1,2,3,13
Halifax,22,16,16,18,16,88
Hampton,25,17,19,21,33,115
Hanover,20,27,13,16,25,101
Harrisonburg,14,19,6,11,10,60
Henrico,40,51,50,59,65,265
Henry,7,6,8,8,17,46
Highland,3,2,2,0,0,7
Hopewell,7,6,14,5,3,35
Isle of Wight,8,7,10,4,13,42
James City,4,7,4,7,11,33
King & Queen,2,2,0,3,3,10
King George,4,1,2,8,5,20
King William,2,4,5,14,3,28
,,,"Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004"
,,,,,,Page 28
