Name: “Table 1 of 1 on page 71 of 87”,Name: “Table 1 of 1 on page 71 of 87”,Name: “Table 1 of 1 on page 71 of 87”,Name: “Table 1 of 1 on page 71 of 87”
Table: 71,Table: 71,Table: 71,Table: 71
,,,
ETHANOL RELATED CAUSES OF DEATH,ETHANOL RELATED CAUSES OF DEATH,,
"Table 26. Ethanol Related Natural and Unnatural Deaths by Cause of Death, 2003","Table 26. Ethanol Related Natural and Unnatural Deaths by Cause of Death, 2003","Table 26. Ethanol Related Natural and Unnatural Deaths by Cause of Death, 2003","Table 26. Ethanol Related Natural and Unnatural Deaths by Cause of Death, 2003"
,,Ethanol >=0.01%,Ethanol >=0.01%
Natural Deaths,Total,Yes,No
AIDS,12,1,11
Alzheimer’s Disease,3,0,3
Aneurysm,28,4,24
Arthritis,1,0,1
Aspiration,9,2,7
Asthma,15,2,13
Blood disorders,3,0,3
Carcinoma,71,2,69
Cerebrovascular,26,3,23
COPD,30,2,28
Congenital Defect,11,1,10
Dehydration,4,1,3
Diabetes,36,5,31
Emboli,58,4,54
Epilepsy,25,4,21
Ethanolism,60,28,32
GI Hemorrhage,50,14,36
Heart Disease,1424,184,1240
Hepatic Failure,41,12,29
Intrauterine Fetal Death,8,0,8
Leukemia,3,0,3
Maternal and Fetal Complications of Birth,13,1,12
Medical treatment,9,0,9
Meningitis,1,0,1
Natural - Other,73,4,69
Obesity,7,0,7
Obstruction (blockage),4,0,4
Pancreas,4,1,3
Pneumonia,84,4,80
Pulmonary Edema,1,0,1
Renal Failure,7,0,7
Respiratory Distress Syndrome,9,1,8
Sepsis,36,3,33
Spontaneous Hemorrhage,1,0,1
SIDS,82,2,80
Subtotal,2249,285,1964
Unnatural Deaths,,,
Asphyxia,93,17,76
Carbon Monoxide Intoxication,124,35,89
Child Abuse,4,0,4
Drowning,143,45,98
Electrocution,12,0,12
Ethanol Intoxication,33,28,5
Exposure,32,9,23
Gunshot Wound,795,256,539
,"Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004"
,,,Page 66
