Name: “Table 1 of 1 on page 19 of 87”,Name: “Table 1 of 1 on page 19 of 87”,Name: “Table 1 of 1 on page 19 of 87”,Name: “Table 1 of 1 on page 19 of 87”,Name: “Table 1 of 1 on page 19 of 87”,Name: “Table 1 of 1 on page 19 of 87”,Name: “Table 1 of 1 on page 19 of 87”,Name: “Table 1 of 1 on page 19 of 87”
Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19
,,,,,,,
"Table 6. Total Cases by Manner of Death by Age Group by Gender, 2003","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2003","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2003","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2003","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2003","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2003","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2003","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2003"
,,,,Manner of Death,Manner of Death,,
Gender,Age,Natural,Accident,Suicide,Homicide,Undetermined,Total
Female,"
    ",56,11,0,3,3,73
,1-4,4,7,0,2,5,18
,5-9,7,9,0,2,0,18
,10-14,4,7,1,2,0,14
,15-19,6,47,2,6,1,62
,20-24,16,40,8,15,2,81
,25-34,28,61,30,14,4,137
,35-44,70,113,48,24,3,258
,45-54,122,94,37,10,7,270
,55-64,98,55,31,7,5,196
,65-74,111,53,13,4,1,182
,75-84,96,97,11,2,0,206
,85-94,56,79,2,2,0,139
,95+,6,11,1,0,0,18
,Unk,1,1,0,1,3,6
,Subtotal,681,685,184,94,34,"1,678"
Male,"
    ",65,8,0,6,4,83
,1-4,6,23,0,5,2,36
,5-9,4,13,0,7,0,24
,10-14,3,25,7,4,0,39
,15-19,8,97,35,48,2,190
,20-24,28,141,50,93,2,314
,25-34,68,249,110,85,2,514
,35-44,219,311,117,62,10,719
,45-54,364,257,119,32,8,780
,55-64,317,151,60,12,5,545
,65-74,232,127,65,7,0,431
,75-84,143,146,39,2,0,330
,85-94,36,65,15,0,0,11
,95+,3,4,0,0,0,7
,Unk,4,3,3,2,3,15
,Subtotal,"1,500","1,620",620,365,38,"4,143"
TOTAL,,"2,181","2,305",804,459,72,"5,821"
,,,,"Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004"
,,,,,,,Page 14
