Name: “Table 1 of 1 on page 50 of 87”,Name: “Table 1 of 1 on page 50 of 87”,Name: “Table 1 of 1 on page 50 of 87”,Name: “Table 1 of 1 on page 50 of 87”,Name: “Table 1 of 1 on page 50 of 87”,Name: “Table 1 of 1 on page 50 of 87”,Name: “Table 1 of 1 on page 50 of 87”,Name: “Table 1 of 1 on page 50 of 87”,Name: “Table 1 of 1 on page 50 of 87”,Name: “Table 1 of 1 on page 50 of 87”,Name: “Table 1 of 1 on page 50 of 87”,Name: “Table 1 of 1 on page 50 of 87”,Name: “Table 1 of 1 on page 50 of 87”
Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50
,,,,,,,,,,,,
,,"Figure 35. Deaths of Children, 18 Years and Younger,","Figure 35. Deaths of Children, 18 Years and Younger,","Figure 35. Deaths of Children, 18 Years and Younger,","Figure 35. Deaths of Children, 18 Years and Younger,","Figure 35. Deaths of Children, 18 Years and Younger,","Figure 35. Deaths of Children, 18 Years and Younger,","Figure 35. Deaths of Children, 18 Years and Younger,","Figure 35. Deaths of Children, 18 Years and Younger,","Figure 35. Deaths of Children, 18 Years and Younger,",,
,,,"by Manner by Race/Ethnicity, 2003","by Manner by Race/Ethnicity, 2003","by Manner by Race/Ethnicity, 2003","by Manner by Race/Ethnicity, 2003","by Manner by Race/Ethnicity, 2003","by Manner by Race/Ethnicity, 2003","by Manner by Race/Ethnicity, 2003",,,
160,,,,,,,,,,,,
,138,,,,,,,,,,,
140,,,,,,,,,,,,
120,,,,,,,,,,,,
100,,,,,,,,,,,,
,,,,,,73,,,,,,
,,,,,77,,,,,,,
80,,,,,,,,,,,,
60,,,,,,,,,,,,
48,,,,,,,,,,,,
40,,,,36,,,,,,,,
,,,,19,,,,,21,,,
,,14,,,,,,,,,,
20,,,,,,,,,,,,
,,,,,,,,,7,,7,9
,,,,6,5,,,,,,,
2,1,1,,1,,3,2,,1,1,,1
0,,,,,,,,,,,,
,Accident,,Homicide,,,Natural,,,Suicide,,Undetermined,Undetermined
,,Asian,Black,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander,White,,Unknown,Other,
,"Figure 36. Proportion of Deaths of Children, 18 Years and Younger,","Figure 36. Proportion of Deaths of Children, 18 Years and Younger,","Figure 36. Proportion of Deaths of Children, 18 Years and Younger,","Figure 36. Proportion of Deaths of Children, 18 Years and Younger,","Figure 36. Proportion of Deaths of Children, 18 Years and Younger,","Figure 36. Proportion of Deaths of Children, 18 Years and Younger,","Figure 36. Proportion of Deaths of Children, 18 Years and Younger,","Figure 36. Proportion of Deaths of Children, 18 Years and Younger,","Figure 36. Proportion of Deaths of Children, 18 Years and Younger,","Figure 36. Proportion of Deaths of Children, 18 Years and Younger,","Figure 36. Proportion of Deaths of Children, 18 Years and Younger,",
,,,,"by Race/Ethnicity, 2003","by Race/Ethnicity, 2003","by Race/Ethnicity, 2003","by Race/Ethnicity, 2003",,,,,
,,,,Other,,,,,,,,
,,,,,,Asian,Asian,,,,,
,,,Unknown,,5%,1%,,,,,,
,,,1%,,,,,,,Black,Black,
,,,,,,,,,,37%,37%,
,White,,,,,,,,,,,
,56%,,,,,,,Hawaiian/Pacific,Hawaiian/Pacific,Hawaiian/Pacific,Hawaiian/Pacific,
,,,,,,,,,Islander,Islander,,
,,,,,,,,,,0%,,
,,,,,"Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004","Virginia Department of Health, Office of the Chief Medical Examiner  November 2004"
,,,,,,,,,,,,Page 45
