Arrests by Offense,Rappahannock,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,,
Robbery,,
Aggravated Assault,2,1
Burglary,,1
Larceny,3,
Motor Vehicle Theft,1,
Arson,,
SUBTOTAL FOR PART I OFFENSES,6,2
Other Assaults,20,5
Forgery & Counterfeiting,,
Fraud,,
Embezzlement,,
"Stolen Property: Buy, Receiving, Poss.",,
Vandalism,2,
"Weapons: Possessing, Etc.",4,
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),,
Narcotic Drug Laws: Sale/Manufacture,2,
Narcotic Drug Laws: Possession,22,3
Gambling,,
Offenses Against the Family,,
Driving Under the Influence,43,
Liquor Laws,3,8
Public Drunkenness,37,
Disorderly Conduct,,1
All Other (except Traffic),33,14
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,166,31
TOTAL,172,33
