CAD Incidents,Total
Accidents,38
Animal Control,57
911 Hangup,22
Annoying Communication,5
Assist Police,10
Assault/Assault with weapons,1
Break in Residence/Business,3
Burglar Alarm Residence/Business,17
Civic/Crime Prevention,0
Civil Advice,37
Community Policing,51
Death Investigation,0
Deliver Message,1
Disturbance Calls Verbal/Weapons,33
Domestic Verbal/Physical/Weapon,35
Drug Overdose/Possession,5
Drunk Driver/Drunk in Public,14
ECO/TDO,7
Fire/EMS Calls,19
Fight unarmed/armed,3
Follow Up,57
Fraud/Forgery,16
Illegal Dumping/Littering,0
Indecent Exposure,1
Juvenile Problems,4
Keys Locked in Vehicle,10
Larceny,40
Lookout,23
Loud Music/Party/Noise Violations,13
Missing Person/Runaway,0
Paper Service,52
Prowler,0
Property Damage,4
Recovered Property,10
Security Checks,89
Suicide Attempt/Threats,0
Suspicious Circumstance,92
Threats,6
Traffic,243
TownAdmin Requests,1
Trespassing,5
Well Being Checks,26
Other Calls,6
Total CAD Incidents,1056
