Relationship of Victim to Offender by Percentage,Percentage
Spouse,1.8
Common-Law Spouse,0.1
Parent,0.6
Sibling,1.2
Child,1.9
Grandparent,0.1
Grandchild,0.2
In-Law,0.3
Stepparent,0.2
Stepchild,0.4
Stepsibling,0.2
Other Family Member,1.7
Victim Was Offender,1.4
Acquaintance,14.8
Friend,2.5
Neighbor,0.8
Babysittee (the baby),0.2
Boyfriend/Girlfriend,4.1
Child of Boyfriend/Girlfriend,0.2
Homosexual Relationship,0.1
Ex-Spouse,0.1
Employee,0.2
Employer,0.1
Otherwise Known,6.1
Stranger,27.3
Unknown,33.4
