Offenses,Number of Arrests,Percent Distribution,"Rate per 100,000 Inhabitants"
Murder/Nonnegligent Manslaughter,264,0.21,3.45
Negligent Manslaughter,6,0,0.08
Kidnapping,902,0.73,11.8
Forcible Rape,386,0.31,5.05
Forcible Sodomy,210,0.17,2.75
Sexual Assault with an Object,75,0.06,0.98
Forcible Fondling of a Child,705,0.57,9.22
Robbery,2139,1.74,27.99
Aggravated Assault,4939,4.01,64.62
Simple Assault,34582,28.09,451.82
Intimidation,1726,1.4,22.58
Arson,397,0.32,5.19
Extortion/Blackmail,57,0.05,0.75
Burglary/Breaking & Entering,4304,3.5,56.31
Pocket-picking,218,0.18,2.85
Purse-snatching,25,0.02,0.33
Shoplifting,8387,6.81,109.73
Theft from Building,673,0.55,8.81
Theft from Coin-Operated Machine or Device,51,0.04,0.67
Theft from Motor Vehicle,469,0.38,6.14
Theft of Motor Vehicle Parts or Accessories,122,0.1,1.6
All Other Larceny,10387,8.44,135.9
Motor Vehicle Theft,1179,0.96,15.42
Counterfeiting/Forgery,2393,1.94,31.31
False Pretenses/Swindle/Confidence Game,2460,2,32.19
Credit Card/Automatic Teller Machine Fraud,452,0.37,5.91
Impersonation,500,0.41,6.54
Welfare Fraud,44,0.04,0.58
Wire Fraud,6,0,0.08
Embezzlement,1752,1.42,22.57
Stolen Property Offenses,989,0.8,12.94
Destruction/Damage/Vandalism of Property,4769,3.87,62.4
Drug/Narcotic Violations,32000,25.99,418.69
Drug Equipment Violations,340,0.28,4.45
Incest,14,0.01,0.18
Statutory Rape,125,0.1,1.64
Pornography/Obscene Material,88,0.07,1.15
Betting/Wagering,82,0.07,1.07
Operating/Promoting/Assisting Gambling,23,0.02,0.3
Gambling Equipment Violations,2,0,0.03
Sports Tampering,9,0.01,0.12
Prostitution,677,0.55,8.86
Assisting or Promoting Prostitution,95,0.08,1.24
Bribery,11,0.01,0.14
Weapon Law Violations,4078,3.31,53.36
TOTAL,123112,100,1609.79
