Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,,,,,,
,F,,,,,,
,U,,,,,1,1
10--14,M,,3,,,,3
,F,,,,,,
,U,,,,,,
15-19,M,14,80,,,,94
,F,3,,,,,3
,U,,,,,,
20-24,M,26,78,,,,104
,F,4,6,,,,10
,U,,,,,,
25-29,M,13,46,,,1,60
,F,5,3,,,,8
,U,,,,,,
30-34,M,10,19,,,,29
,F,1,1,,,,2
,U,,,,,,
35-39,M,13,12,,,,25
,F,1,5,,,,6
,U,,,,,,
40-44,M,12,8,,,,20
,F,,,,,,
,U,,,,,,
45-49,M,9,7,,,,16
,F,3,1,,,,4
,U,,,,,1,1
50-54,M,5,4,,,,9
,F,,1,,,,1
,U,,,,,,
55-59,M,5,3,,,,8
,F,,,,,,
,U,,,,,,
60-64,M,,2,,,,2
,F,,1,,,,1
,U,,,,,,
65 & Over,M,3,3,,,,6
,F,,,,,,
,U,,,,,,
Unknown,M,2,13,,,1,16
,F,,,,,,
,U,,,,,36,36
TOTAL,M,112,278,,,2,392
,F,17,18,,,,35
,U,,,,,38,38
