Age,Victim,,Offender,,
,Male,Female,Male,Female,Unknown
Under 10,,55,10,,
10--12,1,100,10,,
13--14,4,198,50,,
15,,117,54,,1
16,1,112,48,,
17,,73,64,,1
18,,112,83,,1
19,,89,81,,
20,,94,76,1,1
21,,60,84,,
22,,71,81,,
23,2,53,58,1,
24,,46,53,,1
25-29,,167,247,3,
30-34,,116,177,1,
35-39,,92,155,,
40-44,2,66,131,,2
45-49,,61,76,,
50-54,,22,39,,1
55-59,,9,20,,
60-64,,9,14,,
65 & Over,,12,17,,
Unknown,,20,141,,66
TOTAL,10,1754,1769,6,74
White,7,1158,879,6,5
Black,3,562,815,,3
Am. Ind. or Alaskan Native,,,2,,
Asian or Pacific Isl.,,16,13,,
Unknown,,18,60,,66
TOTAL,10,1754,1769,6,74
