Name: “Table 1 of 1 on page 63 of 110”,Name: “Table 1 of 1 on page 63 of 110”,Name: “Table 1 of 1 on page 63 of 110”,Name: “Table 1 of 1 on page 63 of 110”,Name: “Table 1 of 1 on page 63 of 110”,Name: “Table 1 of 1 on page 63 of 110”,Name: “Table 1 of 1 on page 63 of 110”,Name: “Table 1 of 1 on page 63 of 110”,Name: “Table 1 of 1 on page 63 of 110”
Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63
,,,,,,,,
,,,,Year of Death,,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,Total
Norfolk,61,61,51,54,59,52,82,420
Northampton,1,3,1,0,1,3,1,10
Northumberland,0,0,1,0,0,0,1,2
Norton,1,1,0,0,0,0,0,2
Nottoway,1,1,1,1,0,0,2,6
Orange,0,1,1,1,0,1,3,7
Page,1,0,0,0,0,0,0,1
Patrick,0,1,1,0,0,2,2,6
Petersburg,8,9,5,7,7,5,10,51
Pittsylvania,0,3,5,7,2,2,3,22
Portsmouth,12,16,11,8,11,7,17,82
Powhatan,0,1,1,1,0,0,0,3
Prince Edward,0,1,3,1,0,1,3,9
Prince George,1,1,1,1,1,1,0,6
Prince William,11,5,8,4,8,6,10,52
Pulaski,2,2,2,1,0,0,0,7
Radford,0,1,0,0,0,0,0,1
Rappahannock,1,0,0,0,1,0,0,2
Richmond City,92,95,83,102,115,108,105,700
Richmond,1,0,0,0,0,0,1,2
Roanoke City,13,14,18,20,22,13,18,118
Roanoke,0,1,0,2,1,1,2,7
Rockbridge,0,0,0,0,3,0,1,4
Rockingham,1,0,1,1,0,1,0,4
Russell,0,4,0,2,1,0,0,7
Salem,0,0,1,0,0,0,0,1
Scott,0,0,0,1,1,0,0,2
Shenandoah,0,1,0,0,3,1,0,5
Smyth,0,0,0,3,0,0,6,9
Southampton,4,1,1,0,2,2,1,11
Spotsylvania,1,1,0,3,4,2,0,11
Stafford,0,2,1,1,4,4,2,14
Staunton,0,0,1,0,1,0,0,2
Suffolk,5,3,6,4,2,5,8,33
Surry,1,1,0,1,0,1,1,5
Sussex,2,2,3,0,0,2,0,9
Tazewell,0,3,1,2,2,1,1,10
Virginia Beach,12,7,11,5,23,18,21,97
Warren,0,1,0,1,0,1,0,3
Washington,2,3,3,2,2,3,2,17
Waynesboro,1,2,0,0,0,0,0,3
Westmoreland,3,2,0,0,0,3,1,9
Williamsburg,0,0,1,2,2,0,3,8
Winchester,6,3,2,5,2,0,1,19
Wise,1,1,2,2,1,1,3,11
Wythe,2,2,2,0,0,1,0,7
York,1,2,1,0,0,1,1,6
Out of State,3,4,5,0,2,3,4,21
Total,448,462,428,427,459,429,498,3151
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,
,,,Page 57,Page 57,,,,
