Name: “Table 1 of 1 on page 43 of 110”,Name: “Table 1 of 1 on page 43 of 110”,Name: “Table 1 of 1 on page 43 of 110”,Name: “Table 1 of 1 on page 43 of 110”,Name: “Table 1 of 1 on page 43 of 110”,Name: “Table 1 of 1 on page 43 of 110”,Name: “Table 1 of 1 on page 43 of 110”,Name: “Table 1 of 1 on page 43 of 110”
Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43
,,,,,,,
,,,,,,,~continued
,,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,,
,,,POISONING:,,,,
LOCALITY OF INJURY,,,"DRUGS,",VEHICULAR:,VEHICULAR:,VEHICULAR:,
LEADING TO ACCIDENTAL,,FALL/,OTHER,AUTO/TRUCK,AUTO/TRUCK,AUTO/TRUCK,
DEATH,DROWNING,PUSH,POISONS,(DRIVER),(PASSENGER),(PEDESTRIAN),TOTAL
MIDDLESEX COUNTY,1,1,0,2,0,0,4
MONTGOMERY COUNTY,0,3,12,3,5,4,27
NELSON COUNTY,0,0,1,2,0,1,4
NEW KENT COUNTY,0,1,0,3,2,0,6
NEWPORT NEWS,4,8,10,6,5,3,36
NORFOLK,8,12,20,6,1,6,53
NORTHAMPTON COUNTY,1,0,0,1,0,0,2
NORTHUMBERLAND COUNTY,0,0,1,4,1,0,6
NORTON,0,1,2,0,0,0,3
NOTTOWAY COUNTY,1,0,0,4,2,0,7
ORANGE COUNTY,0,1,1,4,0,1,7
PAGE COUNTY,1,1,1,3,0,0,6
PATRICK COUNTY,0,0,1,6,2,0,9
PETERSBURG CITY,1,1,4,1,0,1,8
PITTSYLVANIA COUNTY,1,3,6,4,4,0,18
POQUOSON,0,0,1,0,0,0,1
PORTSMOUTH,2,6,10,0,0,1,19
POWHATAN COUNTY,0,0,1,4,0,1,6
PRINCE EDWARD COUNTY,0,1,0,7,5,0,13
PRINCE GEORGE COUNTY,0,0,2,4,1,0,7
PRINCE WILLIAM COUNTY,2,5,14,16,3,2,42
PULASKI COUNTY,1,1,12,3,0,0,17
RADFORD,0,0,4,0,0,0,4
RAPPAHANNOCK COUNTY,0,2,1,0,0,0,3
RICHMOND CITY,3,33,31,17,8,3,95
RICHMOND COUNTY,0,1,0,1,0,0,2
ROANOKE CITY,0,3,10,5,0,2,20
ROANOKE COUNTY,1,5,4,10,1,0,21
ROCKBRIDGE COUNTY,0,0,1,6,1,0,8
ROCKINGHAM COUNTY,0,2,1,9,5,0,17
RUSSELL COUNTY,0,0,9,5,0,1,15
SALEM,0,3,1,0,0,1,5
SCOTT COUNTY,0,1,0,0,0,1,2
SHENANDOAH COUNTY,0,2,2,3,1,1,9
SMYTH COUNTY,1,0,7,1,2,0,11
SOUTHAMPTON COUNTY,0,0,1,3,3,3,10
SPOTSYLVANIA COUNTY,0,4,1,14,2,1,22
STAFFORD COUNTY,1,8,1,1,1,0,12
STAUNTON CITY,0,0,1,1,0,0,2
SUFFOLK,0,1,5,5,2,2,15
SURRY COUNTY,1,0,1,4,0,0,6
SUSSEX COUNTY,0,0,0,4,4,0,8
TAZEWELL COUNTY,3,0,14,8,5,0,30
VIRGINIA BEACH,8,21,29,18,1,7,84
WARREN COUNTY,0,0,3,5,0,0,8
WASHINGTON COUNTY,3,2,11,4,2,1,23
WAYNESBORO,0,1,3,2,0,1,7
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,,
,,,Page 37,,,,
