Name: “Table 1 of 1 on page 16 of 110”,Name: “Table 1 of 1 on page 16 of 110”,Name: “Table 1 of 1 on page 16 of 110”,Name: “Table 1 of 1 on page 16 of 110”,Name: “Table 1 of 1 on page 16 of 110”,Name: “Table 1 of 1 on page 16 of 110”,Name: “Table 1 of 1 on page 16 of 110”,Name: “Table 1 of 1 on page 16 of 110”,Name: “Table 1 of 1 on page 16 of 110”,Name: “Table 1 of 1 on page 16 of 110”,Name: “Table 1 of 1 on page 16 of 110”,Name: “Table 1 of 1 on page 16 of 110”,Name: “Table 1 of 1 on page 16 of 110”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,,,,,,,,,
,,,"Figure 2. Total Cases by Month of Death, 2005","Figure 2. Total Cases by Month of Death, 2005","Figure 2. Total Cases by Month of Death, 2005","Figure 2. Total Cases by Month of Death, 2005","Figure 2. Total Cases by Month of Death, 2005","Figure 2. Total Cases by Month of Death, 2005","Figure 2. Total Cases by Month of Death, 2005","Figure 2. Total Cases by Month of Death, 2005",,
600,,,,,,,,,,,,
,,,,,,,548,,,,,
,,,,,,,,539,,,,
,,,,500,507,,,,,507,,509
500,482,,,,,490,,,,,,
,,,472,,,,,,467,,,
,,,,,,,,,,,450,
,,436,,,,,,,,,,
400,,,,,,,,,,,,
300,,,,,,,,,,,,
200,,,,,,,,,,,,
100,,,,,,,,,,,,
0,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December
,,,"Figure 3. Total Cases by Day of Death, 2005","Figure 3. Total Cases by Day of Death, 2005","Figure 3. Total Cases by Day of Death, 2005","Figure 3. Total Cases by Day of Death, 2005","Figure 3. Total Cases by Day of Death, 2005","Figure 3. Total Cases by Day of Death, 2005","Figure 3. Total Cases by Day of Death, 2005",,,
950,,,,,,,,,,,,
,,,,,,,,,,,,912
900,,,,,,,,,,,,
,,873,874,,,,,,,,,
,,,,,852,,,,,,,
850,,,,,,,,,,,,
,,,,,,,,,,839,,
,,,,,,,,809,809,,,
800,,,,,,,,,,,,
,,,,,,,748,,,,,
750,,,,,,,,,,,,
700,,,,,,,,,,,,
,,Sunday,Monday,Monday,Tuesday,Wednesday,Wednesday,Thursday,Thursday,Friday,,Saturday
,,,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,,
,,,,,,Page 10,Page 10,,,,,
