Name: “Table 1 of 1 on page 45 of 110”,Name: “Table 1 of 1 on page 45 of 110”,Name: “Table 1 of 1 on page 45 of 110”,Name: “Table 1 of 1 on page 45 of 110”,Name: “Table 1 of 1 on page 45 of 110”,Name: “Table 1 of 1 on page 45 of 110”,Name: “Table 1 of 1 on page 45 of 110”,Name: “Table 1 of 1 on page 45 of 110”,Name: “Table 1 of 1 on page 45 of 110”
Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45
,,,,,,,,
,,,Year of Death,Year of Death,,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,Total
Covington,3,0,0,0,2,0,0,5
Craig,0,0,0,3,1,0,3,7
Culpepper,5,8,12,8,12,15,4,64
Cumberland,6,4,1,0,2,1,9,23
Danville,17,23,22,16,21,25,26,150
Dickenson,4,2,7,9,7,10,7,46
Dinwiddie,7,10,5,6,8,12,8,56
Emporia,8,4,4,7,8,12,5,48
Essex,6,5,10,6,8,11,5,51
Fairfax City,3,0,2,2,3,1,2,13
Fairfax,171,201,196,235,232,217,233,1485
Falls Church,0,1,1,0,0,0,0,2
Fauquier,24,11,17,11,21,22,23,129
Floyd,5,8,7,6,11,4,2,43
Fluvanna,2,4,2,2,11,3,6,30
Franklin City,0,0,1,0,1,0,2,4
Franklin,17,9,19,14,16,18,22,115
Frederick,0,2,2,6,15,17,13,55
Fredericksburg,20,27,18,26,39,29,33,192
Galax,5,5,8,6,3,2,8,37
Giles,6,5,6,4,12,6,7,46
Gloucester,8,7,12,4,11,7,12,61
Goochland,3,4,3,2,8,2,4,26
Grayson,6,7,2,3,4,8,6,36
Greene,6,3,2,5,3,8,9,36
Greensville,3,4,1,2,3,5,5,23
Halifax,22,16,16,18,16,26,16,130
Hampton,25,17,19,21,33,24,18,157
Hanover,20,27,13,16,25,35,24,160
Harrisonburg,14,19,6,11,10,12,14,86
Henrico,40,51,50,59,65,64,65,394
Henry,7,6,8,8,17,13,2,61
Highland,3,2,2,0,0,0,0,7
Hopewell,7,6,14,5,3,5,5,45
Isle of Wight,8,7,10,4,13,7,5,54
James City,4,7,4,7,11,10,6,49
King & Queen,2,2,0,3,3,3,4,17
King George,4,1,2,8,5,4,3,27
King William,2,4,5,14,3,2,4,34
Lancaster,11,8,5,9,4,3,3,43
Lee,8,14,13,6,23,17,20,101
Lexington,10,4,1,5,1,4,2,27
Loudoun,15,16,25,15,26,35,23,155
Louisa,7,11,8,12,7,14,10,69
Lunenburg,7,4,2,8,2,5,2,30
Lynchburg,39,42,39,40,45,50,36,291
Madison,2,2,2,4,5,5,3,23
Manassas,15,10,12,12,14,14,8,85
Martinsville,17,13,24,15,17,20,13,119
,,,,,,,,~continued
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,,
,,Page 39,Page 39,,,,,
