Name: “Table 1 of 1 on page 21 of 110”,Name: “Table 1 of 1 on page 21 of 110”,Name: “Table 1 of 1 on page 21 of 110”,Name: “Table 1 of 1 on page 21 of 110”,Name: “Table 1 of 1 on page 21 of 110”,Name: “Table 1 of 1 on page 21 of 110”,Name: “Table 1 of 1 on page 21 of 110”,Name: “Table 1 of 1 on page 21 of 110”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,,
,"Table 6. Total Cases by Manner of Death by Age Group by Gender, 2005","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2005","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2005","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2005","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2005","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2005","Table 6. Total Cases by Manner of Death by Age Group by Gender, 2005"
,,,Manner of Death,Manner of Death,Manner of Death,,
Gender,Age,Accident,Homicide,Natural,Suicide,Undetermined,Total
Male,"
    ",12,3,73,0,9,97
,1-4,19,5,8,0,1,33
,5-9,11,2,3,0,0,16
,10-14,15,6,3,8,0,32
,15-19,116,45,6,24,1,192
,20-24,168,86,28,50,4,336
,25-34,202,108,69,124,7,510
,35-44,297,60,185,123,7,672
,45-54,247,48,401,146,13,855
,55-64,149,15,327,99,4,594
,65-74,110,10,225,58,2,405
,75-84,124,5,119,44,2,294
,85-94,52,0,38,17,1,108
,95+,4,0,5,0,0,9
,Unknown,1,0,0,0,1,2
,Subtotal,1527,393,1490,693,52,4155
Female,"
    ",11,6,51,0,4,72
,1-4,11,6,7,0,1,25
,5-9,12,1,4,0,1,18
,10-14,8,2,2,4,0,16
,15-19,36,9,7,12,2,66
,20-24,44,14,13,10,1,82
,25-34,75,16,47,26,2,166
,35-44,118,25,86,34,6,269
,45-54,103,9,127,43,3,285
,55-64,78,9,121,36,5,249
,65-74,60,3,90,9,1,163
,75-84,88,5,91,6,1,191
,85-94,69,0,58,2,1,130
,95+,8,0,11,0,1,20
,Subtotal,721,105,715,182,29,1752
Total,,2248,498,2205,875,81,5907
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,
,,,Page 15,Page 15,,,
