Name: “Table 1 of 1 on page 62 of 110”,Name: “Table 1 of 1 on page 62 of 110”,Name: “Table 1 of 1 on page 62 of 110”,Name: “Table 1 of 1 on page 62 of 110”,Name: “Table 1 of 1 on page 62 of 110”,Name: “Table 1 of 1 on page 62 of 110”,Name: “Table 1 of 1 on page 62 of 110”,Name: “Table 1 of 1 on page 62 of 110”,Name: “Table 1 of 1 on page 62 of 110”
Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62
,,,,,,,,
,,,,Year of Death,,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,Total
Colonial Heights,1,0,0,0,0,4,0,5
Covington,0,0,0,1,0,0,0,1
Craig,0,0,0,1,0,0,1,2
Culpepper,0,1,3,1,2,0,1,8
Cumberland,0,2,0,0,0,0,1,3
Danville,9,10,6,8,5,5,8,51
Dickenson,0,1,0,2,0,3,3,9
Dinwiddie,1,1,2,2,2,3,2,13
Emporia,0,2,2,0,0,1,1,6
Essex,0,1,3,1,0,1,0,6
Fairfax City,0,0,0,1,0,0,0,1
Fairfax,26,21,23,19,15,16,34,154
Falls Church,1,0,0,0,0,0,0,1
Fauquier,3,0,3,1,2,0,1,10
Floyd,0,1,2,0,0,0,0,3
Fluvanna,0,1,0,0,0,0,0,1
Franklin,2,2,2,2,3,2,0,13
Frederick,0,0,0,2,1,2,0,5
Fredericksburg,4,4,3,1,0,2,1,15
Galax,4,1,2,0,0,0,0,7
Giles,0,0,0,1,0,1,0,2
Gloucester,1,2,1,3,2,1,0,10
Goochland,0,0,2,0,2,1,0,5
Grayson,0,0,2,1,0,1,3,7
Greene,0,0,0,0,4,1,1,6
Greensville,15,9,3,6,2,4,1,40
Halifax,2,4,3,8,4,2,1,24
Hampton,14,8,10,7,12,10,10,71
Hanover,2,3,1,4,2,3,1,16
Harrisonburg,1,4,1,0,0,1,1,8
Henrico,12,8,8,7,19,20,12,86
Henry,3,2,1,6,2,3,3,20
Highland,0,0,0,0,1,1,0,2
Hopewell,5,1,1,3,2,1,1,14
Isle of Wight,1,1,1,0,0,2,0,5
James City,0,1,3,0,0,0,1,5
King & Queen,0,0,3,0,2,0,1,6
King George,1,1,1,0,0,1,0,4
King William,1,0,0,1,1,0,1,4
Lancaster,0,0,3,0,0,0,0,3
Lee,1,2,2,1,2,2,1,11
Loudoun,1,1,6,3,1,2,4,18
Louisa,0,3,1,1,1,0,0,6
Lunenburg,0,0,0,1,0,0,0,1
Lynchburg,6,6,5,12,7,5,7,48
Madison,0,0,0,1,0,0,0,1
Manassas,2,2,0,1,5,3,2,15
Martinsville,6,11,8,3,1,1,3,33
Mathews,0,0,0,0,0,0,1,1
Mecklenburg,3,2,2,3,1,1,4,16
Montgomery,0,1,0,1,1,1,1,5
Nelson,0,1,2,0,0,1,1,5
New Kent,2,1,0,2,0,0,0,5
Newport News,20,23,34,23,29,21,22,172
,,,,,,,,~continued
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,,
,,,Page 56,Page 56,,,,
