Name: “Table 1 of 1 on page 56 of 110”,Name: “Table 1 of 1 on page 56 of 110”,Name: “Table 1 of 1 on page 56 of 110”,Name: “Table 1 of 1 on page 56 of 110”,Name: “Table 1 of 1 on page 56 of 110”,Name: “Table 1 of 1 on page 56 of 110”,Name: “Table 1 of 1 on page 56 of 110”,Name: “Table 1 of 1 on page 56 of 110”,Name: “Table 1 of 1 on page 56 of 110”
Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56
,,,,,,,,
,,,,,,,,~continued
,,,Year of Death,Year of Death,Year of Death,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,Total
Warren,5,6,6,4,1,14,7,43
Washington,8,16,12,6,7,8,8,65
Waynesboro,3,3,2,4,1,4,7,24
Westmoreland,1,4,2,2,2,1,4,16
Williamsburg,3,2,2,2,5,4,8,26
Winchester,12,8,5,10,9,6,4,54
Wise,7,3,8,9,7,2,8,44
Wythe,4,3,8,7,5,5,7,39
York,5,4,3,1,7,3,4,27
Out of State,0,3,5,2,5,3,1,19
TOTAL,810,775,809,818,804,840,875,5731
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,,
,,Page 50,Page 50,,,,,
