Name: “Table 1 of 1 on page 53 of 110”,Name: “Table 1 of 1 on page 53 of 110”,Name: “Table 1 of 1 on page 53 of 110”,Name: “Table 1 of 1 on page 53 of 110”,Name: “Table 1 of 1 on page 53 of 110”,Name: “Table 1 of 1 on page 53 of 110”,Name: “Table 1 of 1 on page 53 of 110”,Name: “Table 1 of 1 on page 53 of 110”,Name: “Table 1 of 1 on page 53 of 110”
Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53
,,,,,,,,
Locality of Residence,Total,Rate*,Locality of Residence,Locality of Residence,Locality of Residence,Total,Rate*,Rate*
Gloucester,9,23.8,Staunton,Staunton,,3,12.9,
Goochland,5,25.8,Suffolk,Suffolk,,4,5.1,
Grayson,5,30.6,Surry,Surry,,0,0.0,
Greene,1,5.7,Sussex,Sussex,,0,0.0,
Greensville,0,0.0,Tazewell,Tazewell,,11,24.6,
Halifax,3,8.3,Virginia Beach,Virginia Beach,Virginia Beach,31,7.1,
Hampton,13,8.9,Warren,Warren,,7,19.7,
Hanover,12,12.3,Washington,Washington,Washington,7,13.4,
Harrisonburg,4,9.9,Waynesboro,Waynesboro,Waynesboro,8,37.6,
Henrico,26,9.3,Westmoreland,Westmoreland,Westmoreland,5,29.0,
Henry,15,26.5,Williamsburg,Williamsburg,Williamsburg,7,59.6,
Highland,0,0.0,Winchester,Winchester,Winchester,3,11.9,
Hopewell,2,8.8,Wise,Wise,,8,19.0,
Isle of Wight,0,0.0,Wythe,Wythe,,6,21.1,
James City,1,1.7,York,York,,4,6.5,
King & Queen,1,14.7,TOTAL FOR STATE,TOTAL FOR STATE,TOTAL FOR STATE,839,11.1,
King George,1,4.8,Out of State,Out of State,,36,ND**,
King William,2,13.6,TOTAL,TOTAL,,875,ND**,
Lancaster,3,25.9,"*- Rate per 100,000","*- Rate per 100,000","*- Rate per 100,000",,,
,,,**- ND- No Denominator,**- ND- No Denominator,**- ND- No Denominator,,,
"Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 15. Suicide Deaths by Locality of Death by Year of Death, 1999-2005",
,,,Year of Death,Year of Death,Year of Death,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,Total
Accomack,6,4,2,2,4,2,5,25
Albemarle,7,8,7,5,10,16,3,56
Alexandria,8,9,11,13,18,14,8,81
Alleghany,0,2,3,1,4,1,2,13
Amelia,0,0,1,2,2,3,2,10
Amherst,4,1,3,10,1,4,3,26
Appomattox,0,0,1,4,2,1,5,13
Arlington,9,14,10,22,15,14,27,111
Augusta,11,6,3,10,12,13,9,64
Bath,0,0,1,0,0,2,0,3
Bedford City,1,2,2,0,0,0,0,5
Bedford,9,11,10,4,7,5,8,54
Bland,3,0,1,0,3,2,0,9
Botetourt,5,4,4,4,2,2,7,28
Bristol,0,2,1,1,3,3,5,15
Brunswick,0,1,0,2,4,1,3,11
Buchanan,6,4,9,8,5,8,6,46
Buckingham,4,4,2,2,0,1,0,13
Buena Vista,0,2,0,1,0,2,1,6
Campbell,4,5,9,2,5,6,7,38
Caroline,5,3,1,2,5,1,2,19
Carroll,6,10,3,3,2,8,6,38
Charles City,1,1,0,1,1,1,0,5
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,,
,,Page 47,Page 47,,,,,
