Name: “Table 1 of 1 on page 41 of 110”,Name: “Table 1 of 1 on page 41 of 110”,Name: “Table 1 of 1 on page 41 of 110”,Name: “Table 1 of 1 on page 41 of 110”,Name: “Table 1 of 1 on page 41 of 110”,Name: “Table 1 of 1 on page 41 of 110”,Name: “Table 1 of 1 on page 41 of 110”,Name: “Table 1 of 1 on page 41 of 110”
Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41
,,,,,,,
,,,,,,~continued,
Fatal Agency,,,,,Total Cases,Autopsied,
Traumatic Injury,,,,,,,
Accidental discharge of firearm,Accidental discharge of firearm,,,,4,4,
Handgun,,,,,(3),(3),
Shotgun,,,,,(1),(1),
Accidental cut injury,Accidental cut injury,,,,1,0,
Cave-in,,,,,2,2,
Received blow/collided with object,Received blow/collided with object,,,,25,7,
Sports related,,,,,3,1,
Other traumatic causes,Other traumatic causes,,,,30,16,
Unknown,,,,,,,
Accident - Unknown,Accident - Unknown,,,,4,2,
Total,,,,,2248,850,
Table 11. Accidental Deaths by Locality of Injury Leading to Death by Leading,Table 11. Accidental Deaths by Locality of Injury Leading to Death by Leading,Table 11. Accidental Deaths by Locality of Injury Leading to Death by Leading,Table 11. Accidental Deaths by Locality of Injury Leading to Death by Leading,Table 11. Accidental Deaths by Locality of Injury Leading to Death by Leading,Table 11. Accidental Deaths by Locality of Injury Leading to Death by Leading,Table 11. Accidental Deaths by Locality of Injury Leading to Death by Leading,
,,"Methods of Death, 2005","Methods of Death, 2005","Methods of Death, 2005",,,
,,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,,
,,,POISONING:,,,,
LOCALITY OF INJURY,,,"DRUGS,",VEHICULAR:,VEHICULAR:,VEHICULAR:,
LEADING TO ACCIDENTAL,,FALL/,OTHER,AUTO/TRUCK,AUTO/TRUCK,AUTO/TRUCK,
DEATH,DROWNING,PUSH,POISONS,(DRIVER),(PASSENGER),(PEDESTRIAN),TOTAL
ACCOMACK COUNTY,3,1,2,7,5,2,20
ALBEMARLE COUNTY,2,3,2,10,3,0,20
ALEXANDRIA CITY,1,1,5,1,1,2,11
ALLEGHANY COUNTY,0,1,0,4,1,0,6
AMELIA COUNTY,1,0,1,3,2,1,8
AMHERST COUNTY,0,1,2,3,0,1,7
APPOMATTOX COUNTY,0,1,0,2,3,0,6
ARLINGTON,1,6,2,2,0,1,12
AUGUSTA COUNTY,3,2,2,17,5,1,30
BEDFORD CITY,0,2,1,1,0,1,5
BEDFORD COUNTY,0,5,4,7,4,1,21
BLAND COUNTY,0,0,0,2,0,0,2
BOTETOURT COUNTY,0,1,1,2,1,0,5
BRISTOL,0,0,4,1,0,0,5
BRUNSWICK COUNTY,0,2,2,4,3,0,11
BUCHANAN COUNTY,2,1,11,4,2,0,20
BUCKINGHAM COUNTY,0,0,0,2,2,0,4
BUENA VISTA,0,0,1,0,0,0,1
CAMPBELL COUNTY,0,6,0,9,3,1,19
CAROLINE COUNTY,1,1,0,4,4,0,10
CARROLL COUNTY,0,0,4,2,1,2,9
CHARLOTTE COUNTY,1,0,1,4,1,0,7
CHARLOTTESVILLE CITY,1,8,2,6,1,2,20
CHESAPEAKE,1,7,11,14,2,2,37
CHESTERFIELD COUNTY,4,5,9,16,7,2,43
CLARKE COUNTY,0,1,2,4,1,1,9
COLONIAL HEIGHTS CITY,1,0,2,0,0,0,3
CRAIG COUNTY,0,0,1,1,0,0,2
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,,
,,,Page 35,,,,
