Name: “Table 1 of 1 on page 61 of 110”,Name: “Table 1 of 1 on page 61 of 110”,Name: “Table 1 of 1 on page 61 of 110”,Name: “Table 1 of 1 on page 61 of 110”,Name: “Table 1 of 1 on page 61 of 110”,Name: “Table 1 of 1 on page 61 of 110”,Name: “Table 1 of 1 on page 61 of 110”,Name: “Table 1 of 1 on page 61 of 110”,Name: “Table 1 of 1 on page 61 of 110”
Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61
,,,,,,,,
Locality of Death,Total,Rate*,,Locality of Death,Locality of Death,,Total,Rate*
Gloucester,0,0.0,,Suffolk,,,10,12.7
Goochland,0,0.0,,Surry,,,2,28.5
Grayson,2,12.2,,Sussex,,,0,0.0
Greene,1,5.7,,Tazewell,,,1,2.2
Greensville,0,0.0,,Virginia Beach,Virginia Beach,,25,5.7
Halifax,1,2.8,,Warren,,,0,0.0
Hampton,12,8.2,,Washington,,,1,1.9
Hanover,2,2.1,,Waynesboro,,,0,0.0
Harrisonburg,1,2.5,,Westmoreland,Westmoreland,,1,5.8
Henrico,18,6.4,,Williamsburg,,,3,25.5
Henry,6,10.6,,Winchester,,,1,4.0
Highland,0,0.0,,Wise,,,3,7.1
Hopewell,1,4.4,,Wythe,,,0,0.0
Isle of Wight,0,0.0,,York,,,1,1.6
James City,2,3.5,,SUBTOTAL FOR STATE,SUBTOTAL FOR STATE,SUBTOTAL FOR STATE,475,6.3
King & Queen,1,14.7,,Unknown,,,1,ND**
King George,0,0.0,,Out of State,,,22,ND
King William,1,6.8,,Total,,,498,ND
,,,,"*- Rate per 100,000","*- Rate per 100,000",,,
,,,,**- ND- No Denominator,**- ND- No Denominator,,,
"Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2005","Table 18. Homicide Deaths by Locality of Death by Year of Death, 1999-2005"
,,,,Year of Death,,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,Total
Accomack,2,1,1,0,1,1,0,6
Albemarle,5,1,3,2,3,2,0,16
Alexandria,2,2,5,0,5,2,5,21
Alleghany,0,0,0,2,0,2,1,5
Amelia,0,1,0,0,1,0,1,3
Amherst,1,3,0,1,1,1,0,7
Appomattox,1,0,0,1,0,0,1,3
Arlington,3,10,2,5,3,2,3,28
Augusta,1,3,1,3,4,7,6,25
Bedford,2,1,1,2,0,0,0,6
Bland,0,1,0,0,0,0,0,1
Botetourt,0,2,0,0,1,0,0,3
Bristol,1,1,2,0,0,0,0,4
Brunswick,1,1,0,2,2,2,1,9
Buchanan,1,2,1,4,2,2,2,14
Buckingham,0,0,0,0,2,0,1,3
Campbell,2,1,0,0,0,2,0,5
Caroline,0,0,1,0,0,1,0,2
Carroll,1,2,0,1,1,0,1,6
Charles City,0,1,0,0,0,0,1,2
Charlotte,2,0,0,2,1,0,0,5
Charlottesville,6,7,7,5,4,7,6,42
Chesapeake,6,9,8,5,4,8,9,49
Chesterfield,8,6,6,5,7,8,8,48
Clarke,2,0,0,1,1,1,0,5
,,,,,,,,~continued
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,,
,,,Page 55,Page 55,,,,
