Name: “Table 1 of 1 on page 23 of 110”,Name: “Table 1 of 1 on page 23 of 110”,Name: “Table 1 of 1 on page 23 of 110”,Name: “Table 1 of 1 on page 23 of 110”,Name: “Table 1 of 1 on page 23 of 110”,Name: “Table 1 of 1 on page 23 of 110”,Name: “Table 1 of 1 on page 23 of 110”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,,,
"Table 7. Total Cases by Locality of Injury Leading to Death, 2005","Table 7. Total Cases by Locality of Injury Leading to Death, 2005","Table 7. Total Cases by Locality of Injury Leading to Death, 2005","Table 7. Total Cases by Locality of Injury Leading to Death, 2005","Table 7. Total Cases by Locality of Injury Leading to Death, 2005","Table 7. Total Cases by Locality of Injury Leading to Death, 2005",
,,,MANNER,MANNER,,
,Accident,Homicide,Natural,Suicide,Undetermined,
Locality of Injury Leading to Death,Total,Total,Total,Total,Total,Total
ACCOMACK COUNTY,24,0,20,5,1,50
ALBEMARLE COUNTY,26,2,16,6,0,50
ALEXANDRIA CITY,14,6,56,8,0,84
ALLEGHANY COUNTY,7,0,7,1,2,17
AMELIA COUNTY,9,0,5,2,0,16
AMHERST COUNTY,7,2,13,5,0,27
APPOMATTOX COUNTY,7,1,7,4,0,19
ARLINGTON,16,3,42,27,0,88
AUGUSTA COUNTY,41,5,16,10,1,73
BATH COUNTY,0,0,1,0,0,1
BEDFORD CITY,5,0,5,0,1,11
BEDFORD COUNTY,28,0,12,8,0,48
BLAND COUNTY,2,0,3,0,1,6
BOTETOURT COUNTY,7,2,9,7,0,25
BRISTOL,5,2,5,5,1,18
BRUNSWICK COUNTY,13,2,10,3,1,29
BUCHANAN COUNTY,24,2,13,8,0,47
BUCKINGHAM COUNTY,6,1,6,0,1,14
BUENA VISTA,4,0,0,1,0,5
CAMPBELL COUNTY,23,0,8,11,0,42
CAROLINE COUNTY,15,0,9,3,0,27
CARROLL COUNTY,10,1,9,7,0,27
CHARLES CITY COUNTY,1,1,2,0,0,4
CHARLOTTE COUNTY,10,0,2,0,0,12
CHARLOTTESVILLE CITY,24,2,16,9,1,52
CHESAPEAKE,44,15,56,14,1,130
CHESTERFIELD COUNTY,55,9,55,30,5,154
CLARKE COUNTY,9,0,1,2,1,13
COLONIAL HEIGHTS CITY,4,0,4,1,0,9
COVINGTON,0,0,1,1,1,3
CRAIG COUNTY,3,1,2,3,1,10
CULPEPER COUNTY,7,1,16,5,1,30
CUMBERLAND COUNTY,9,1,3,1,0,14
DANVILLE,17,8,24,8,1,58
DICKENSON COUNTY,8,3,2,2,0,15
DINWIDDIE COUNTY,11,3,8,8,0,30
EMPORIA CITY,4,1,6,0,0,11
ESSEX COUNTY,5,0,5,0,0,10
FAIRFAX CITY,2,0,0,0,0,2
FAIRFAX COUNTY,206,32,180,80,3,501
FALLS CHURCH CITY,2,0,4,1,0,7
FAUQUIER COUNTY,23,1,15,9,0,48
FLOYD COUNTY,4,0,2,1,1,8
FLUVANNA COUNTY,10,0,9,2,0,21
FRANKLIN CITY,0,0,1,1,0,2
FRANKLIN COUNTY,29,0,17,7,1,54
"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,
,Page 17,Page 17,,,,
