Name: “Table 1 of 1 on page 52 of 110”,Name: “Table 1 of 1 on page 52 of 110”,Name: “Table 1 of 1 on page 52 of 110”,Name: “Table 1 of 1 on page 52 of 110”,Name: “Table 1 of 1 on page 52 of 110”,Name: “Table 1 of 1 on page 52 of 110”
Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52
,,,,,
"Table 14. Suicide Deaths by Locality of Residence, 2005","Table 14. Suicide Deaths by Locality of Residence, 2005","Table 14. Suicide Deaths by Locality of Residence, 2005","Table 14. Suicide Deaths by Locality of Residence, 2005","Table 14. Suicide Deaths by Locality of Residence, 2005",
Locality of Residence,Total,Rate*,Locality of Residence,Total,Rate*
Accomack,4,10.1,Lee,4,16.9
Albemarle,5,5.5,Lexington,0,0.0
Alexandria,7,5.2,Loudoun,18,7.0
Alleghany,1,6.0,Louisa,4,13.3
Amelia,2,16.3,Lunenburg,2,15.2
Amherst,5,15.6,Lynchburg,4,6.0
Appomattox,4,28.6,Madison,2,14.9
Arlington,24,12.2,Manassas,4,10.6
Augusta,10,14.3,Martinsville,4,26.8
Bath,0,0.0,Mathews,4,43.5
Bedford City,1,16.1,Mecklenburg,7,21.5
Bedford,7,10.7,Middlesex,3,28.6
Bland,0,0.0,Montgomery,7,8.3
Botetourt,6,18.7,Nelson,4,26.5
Bristol,4,23.1,New Kent,5,31.0
Brunswick,4,22.3,Newport News,13,7.2
Buchanan,7,28.3,Norfolk,19,8.2
Buckingham,0,0.0,Northampton,1,7.4
Buena Vista,2,31.1,Northumberland,3,23.3
Campbell,11,21.0,Norton,0,0.0
Caroline,2,7.8,Nottoway,0,0.0
Carroll,8,27.2,Orange,6,19.8
Charles City,0,0.0,Page,4,16.8
Charlotte,0,0.0,Patrick,3,15.6
Charlottesville,9,22.3,Petersburg,1,3.1
Chesapeake,14,6.4,Pittsylvania,12,19.4
Chesterfield,30,10.4,Poquoson,1,8.5
Clarke,2,14.1,Portsmouth,13,13.0
Colonial Heights,3,17.1,Powhatan,5,18.8
Covington,1,16.1,Prince Edward,3,14.7
Craig,2,38.8,Prince George,2,5.4
Culpepper,5,11.8,Prince William,36,10.3
Cumberland,0,0.0,Pulaski,7,20.0
Danville,7,15.2,Radford,5,34.3
Dickenson,2,12.3,Rappahannock,1,13.8
Dinwiddie,7,27.6,Richmond City,33,17.0
Emporia,0,0.0,Richmond,3,32.9
Essex,0,0.0,Roanoke City,19,20.5
Fairfax City,0,0.0,Roanoke,12,13.6
Fairfax,73,7.3,Rockbridge,1,4.7
Falls Church,1,9.3,Rockingham,5,7.0
Fauquier,9,13.8,Russell,5,17.3
Floyd,1,6.8,Salem,2,8.1
Fluvanna,3,12.1,Scott,2,8.7
Franklin,9,17.9,Shenandoah,9,23.0
Frederick,6,8.7,Smyth,7,21.4
Fredericksburg,2,9.6,Southampton,3,17.1
Galax,1,15.0,Spotsylvania,10,8.6
Giles,1,5.8,Stafford,12,10.2
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",~continued,~continued
,,Page 46,Page 46,,
