Name: “Table 1 of 1 on page 44 of 110”,Name: “Table 1 of 1 on page 44 of 110”,Name: “Table 1 of 1 on page 44 of 110”,Name: “Table 1 of 1 on page 44 of 110”,Name: “Table 1 of 1 on page 44 of 110”,Name: “Table 1 of 1 on page 44 of 110”,Name: “Table 1 of 1 on page 44 of 110”,Name: “Table 1 of 1 on page 44 of 110”,Name: “Table 1 of 1 on page 44 of 110”,Name: “Table 1 of 1 on page 44 of 110”
Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44
,,,,,,,,,
,,,,,,,,~continued,~continued
,,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,,,
,,,POISONING:,,,,,,
LOCALITY OF INJURY,,,"DRUGS,",VEHICULAR:,VEHICULAR:,VEHICULAR:,VEHICULAR:,VEHICULAR:,
LEADING TO ACCIDENTAL,,FALL/,OTHER,AUTO/TRUCK,AUTO/TRUCK,AUTO/TRUCK,AUTO/TRUCK,AUTO/TRUCK,
DEATH,DROWNING,PUSH,POISONS,(DRIVER),(DRIVER),(PASSENGER),(PEDESTRIAN),(PEDESTRIAN),TOTAL
WAYNESBORO COUNTY,0,1,0,0,,0,0,,1
WESTMORELAND COUNTY,0,0,2,2,,1,0,,5
WILLIAMSBURG CITY,0,4,1,5,,0,0,,10
WINCHESTER CITY,0,1,5,7,,0,0,,13
WISE COUNTY,0,0,9,2,,0,0,,11
WYTHE COUNTY,0,1,0,4,,1,1,,7
YORK COUNTY,1,0,0,8,,2,0,,11
OUT OF STATE,2,8,3,11,,5,0,,29
UNKNOWN,0,5,5,7,,1,0,,18
Total,89,352,471,588,588,195,102,,1797
,"Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2005","Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2005","Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2005","Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2005","Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2005","Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2005","Table 12. Accidental Deaths by Locality of Death by Year of Death, 1999-2005",,
,,,Year of Death,Year of Death,,,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,Total,
Accomack,13,17,17,14,16,17,18,112,
Albemarle,15,6,7,22,26,37,24,137,
Alexandria,19,16,17,20,14,18,14,118,
Alleghany,4,3,3,4,3,5,4,26,
Amelia,4,5,3,5,2,4,7,30,
Amherst,9,4,5,3,5,3,4,33,
Appomattox,2,1,3,6,2,2,6,22,
Arlington,28,35,34,44,31,21,15,208,
Augusta,16,18,24,24,26,28,33,169,
Bath,3,1,2,3,6,2,0,17,
Bedford City,1,1,5,2,2,0,5,16,
Bedford,15,9,16,16,14,18,19,107,
Bland,2,1,8,4,2,2,3,22,
Botetourt,9,7,9,8,6,10,3,52,
Bristol,1,1,0,2,6,4,11,25,
Brunswick,8,8,7,9,5,12,19,68,
Buchanan,11,10,16,19,20,21,6,103,
Buckingham,8,7,8,5,8,6,4,46,
Buena Vista,0,0,0,1,0,1,13,15,
Campbell,11,12,7,12,15,10,12,79,
Caroline,9,12,8,16,6,12,8,71,
Carroll,7,9,5,5,8,9,0,43,
Charles City,2,2,2,6,4,2,0,18,
Charlotte,10,4,5,3,4,4,8,38,
Charlottesville,74,60,70,71,83,58,72,488,
Chesapeake,26,24,30,44,38,37,32,231,
Chesterfield,43,43,28,46,50,48,44,302,
Clarke,1,2,3,2,6,3,7,24,
Colonial Heights,0,3,1,0,1,1,2,8,
,,,,,,,~continued,~continued,
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,,,
,,,Page 38,,,,,,
