Name: “Table 1 of 1 on page 24 of 110”,Name: “Table 1 of 1 on page 24 of 110”,Name: “Table 1 of 1 on page 24 of 110”,Name: “Table 1 of 1 on page 24 of 110”,Name: “Table 1 of 1 on page 24 of 110”,Name: “Table 1 of 1 on page 24 of 110”,Name: “Table 1 of 1 on page 24 of 110”
Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24
,,,,,,
,,,,,,~continued
,,,MANNER,MANNER,,
,Accident,Homicide,Natural,Suicide,Undetermined,
Locality of Injury Leading to Death,Total,Total,Total,Total,Total,Total
FREDERICK COUNTY,19,0,14,5,0,38
FREDERICKSBURG CITY,16,1,23,2,0,42
GALAX,2,0,3,2,0,7
GILES COUNTY,9,0,3,1,0,13
GLOUCESTER COUNTY,12,0,7,10,4,33
GOOCHLAND COUNTY,5,1,1,4,0,11
GRAYSON COUNTY,10,2,5,5,0,22
GREENE COUNTY,13,0,7,1,0,21
GREENSVILLE COUNTY,8,1,10,0,0,19
HALIFAX COUNTY,18,2,16,3,1,40
HAMPTON,20,13,80,12,2,127
HANOVER COUNTY,25,1,24,10,1,61
HARRISONBURG,10,1,16,5,1,33
HENRICO COUNTY,75,16,70,25,2,188
HENRY COUNTY,9,7,15,13,0,44
HIGHLAND COUNTY,0,0,0,1,0,1
HOPEWELL CITY,4,1,11,2,0,18
ISLE OF WIGHT,8,0,2,1,0,11
JAMES CITY COUNTY,10,0,13,1,0,24
KING & QUEEN COUNTY,5,1,4,1,0,11
KING GEORGE COUNTY,5,0,9,1,0,15
KING WILLIAM COUNTY,4,1,2,2,2,11
LANCASTER COUNTY,4,0,2,3,0,9
LEE COUNTY,20,1,15,5,0,41
LEXINGTON,2,0,1,1,0,4
LOUDOUN COUNTY,30,5,36,17,0,88
LOUISA COUNTY,12,0,10,3,0,25
LUNENBURG COUNTY,2,0,12,2,1,17
LYNCHBURG,14,5,19,3,0,41
MADISON COUNTY,4,0,3,2,0,9
MANASSAS CITY,8,2,9,4,0,23
MARTINSVILLE,4,0,5,4,0,13
MATHEWS COUNTY,4,0,1,4,0,9
MECKLENBURG COUNTY,16,3,5,9,0,33
MIDDLESEX COUNTY,6,0,2,3,0,11
MONTGOMERY COUNTY,33,2,23,9,0,67
NELSON COUNTY,6,1,2,4,0,13
NEW KENT COUNTY,7,0,3,3,1,14
NEWPORT NEWS,44,20,65,13,1,143
NORFOLK,72,63,112,25,4,276
NORTHAMPTON COUNTY,8,1,7,1,0,17
NORTHUMBERLAND COUNTY,8,1,3,3,0,15
NORTON,4,0,3,0,0,7
NOTTOWAY COUNTY,10,2,20,0,0,32
ORANGE COUNTY,10,3,8,6,0,27
PAGE COUNTY,8,1,5,5,0,19
PATRICK COUNTY,10,2,1,5,0,18
PETERSBURG CITY,9,10,46,3,4,72
"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,
,Page 18,Page 18,,,,
