Name: “Table 1 of 1 on page 35 of 110”,Name: “Table 1 of 1 on page 35 of 110”,Name: “Table 1 of 1 on page 35 of 110”
Table: 35,Table: 35,Table: 35
,,
Subdural Hematoma,87,7
Substance Poisoning,404,358
Thermal Injuries (burns),36,19
Unnatural - Other,12,6
Subtotal,3657,2101
Undetermined Deaths,,
Skeletal/Mummified Remains,2,2
Undetermined after Autopsy and/or,,
Investigation,32,30
Subtotal,34,32
Total,5907,3001
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",
,Page 29,
