Name: “Table 1 of 1 on page 70 of 110”,Name: “Table 1 of 1 on page 70 of 110”,Name: “Table 1 of 1 on page 70 of 110”
Table: 70,Table: 70,Table: 70
,,
"Table 20. Deaths of Children, 17 Years and Younger, by Cause of Death, 2005","Table 20. Deaths of Children, 17 Years and Younger, by Cause of Death, 2005","Table 20. Deaths of Children, 17 Years and Younger, by Cause of Death, 2005"
Natural Deaths,Total Cases,Autopsied
Acute Viral Syndrome,8,8
Asthma,1,0
Cerebral Palsy,3,3
Congenital Defect,3,1
Dehydration,1,1
Diabetes,1,1
Emboli,1,0
Epilepsy,2,2
Heart Disease,15,13
History of Illness or Injury,2,2
Maternal and Fetal Complications,5,5
Meningitis,2,2
Metabolic Disorders,1,1
Natural - Other,5,4
Pneumonia,13,13
Prematurity,5,5
Renal Failure,1,0
Sepsis,5,4
Sudden Infant Death Syndrome,90,90
Subtotal,164,155
Unnatural Deaths,,
Asphyxia,19,16
Carbon Monoxide Poisoning,12,8
Child Abuse,6,6
Drowning,24,16
Exsanguination,1,1
Gunshot Wound,37,37
Handgun,(30),(30)
Rifle,(4),(4)
Shotgun,(1),(1)
Unspecified,(2),(2)
Hanging,15,13
Head and Neck Injuries,65,16
Homicidal Violence,2,2
Multiple Injuries,62,16
Narcotic Abuse,3,3
Stab Wound,2,2
Substance Poisoning,5,5
Thermal Injuries (burns),3,2
Subtotal,256,143
Undetermined after Autopsy,6,6
Total,426,304
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",
,Page 64,
