Name: “Table 1 of 1 on page 47 of 110”,Name: “Table 1 of 1 on page 47 of 110”,Name: “Table 1 of 1 on page 47 of 110”,Name: “Table 1 of 1 on page 47 of 110”,Name: “Table 1 of 1 on page 47 of 110”,Name: “Table 1 of 1 on page 47 of 110”,Name: “Table 1 of 1 on page 47 of 110”,Name: “Table 1 of 1 on page 47 of 110”,Name: “Table 1 of 1 on page 47 of 110”
Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47
,,,,,,,,
,,,Year of Death,Year of Death,,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,Total
Williamsburg,2,10,16,13,7,9,12,69
Winchester,16,21,25,29,18,23,27,159
Wise,7,16,7,11,21,27,12,101
Wythe,6,15,12,20,6,15,8,82
York,2,8,12,2,11,5,11,51
Unknown,1,0,0,0,0,0,0,1
Out of State,1,1,2,0,2,2,2,10
TOTAL,1820,1969,2035,2145,2305,2312,2248,14834
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,,
,,Page 41,Page 41,,,,,
