Name: “Table 1 of 1 on page 42 of 110”,Name: “Table 1 of 1 on page 42 of 110”,Name: “Table 1 of 1 on page 42 of 110”,Name: “Table 1 of 1 on page 42 of 110”,Name: “Table 1 of 1 on page 42 of 110”,Name: “Table 1 of 1 on page 42 of 110”,Name: “Table 1 of 1 on page 42 of 110”,Name: “Table 1 of 1 on page 42 of 110”
Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42
,,,,,,,
,,,,,,,~continued
,,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,LEADING FATAL AGENCIES OF ACCIDENTAL DEATHS,,
,,,POISONING:,,,,
LOCALITY OF INJURY,,,"DRUGS,",VEHICULAR:,VEHICULAR:,VEHICULAR:,
LEADING TO ACCIDENTAL,,FALL/,OTHER,AUTO/TRUCK,AUTO/TRUCK,AUTO/TRUCK,
DEATH,DROWNING,PUSH,POISONS,(DRIVER),(PASSENGER),(PEDESTRIAN),TOTAL
CULPEPER COUNTY,0,1,0,3,0,3,7
CUMBERLAND COUNTY,0,0,0,4,5,0,9
DANVILLE,1,4,5,3,0,0,13
DICKENSON COUNTY,0,0,6,1,0,0,7
DINWIDDIE COUNTY,1,1,0,5,1,1,9
EMPORIA CITY,0,0,1,3,0,0,4
ESSEX COUNTY,0,0,1,2,1,0,4
FAIRFAX CITY,0,0,0,0,1,0,1
FAIRFAX COUNTY,5,68,27,49,13,12,174
FALLS CHURCH CITY,0,1,0,0,1,0,2
FAUQUIER COUNTY,0,1,2,12,1,1,17
FLOYD COUNTY,0,2,1,0,0,0,3
FLUVANNA COUNTY,0,2,1,3,1,0,7
FRANKLIN COUNTY,0,4,9,10,1,0,24
FREDERICK COUNTY,0,0,3,8,2,1,14
FREDERICKSBURG CITY,0,11,0,0,0,0,11
GALAX,0,0,1,0,0,0,1
GILES COUNTY,2,1,1,2,0,0,6
GLOUCESTER COUNTY,0,1,3,5,2,0,11
GOOCHLAND COUNTY,0,0,0,4,1,0,5
GRAYSON COUNTY,0,0,2,3,1,0,6
GREENE COUNTY,0,0,1,4,3,1,9
GREENSVILLE COUNTY,0,1,0,3,2,1,7
HALIFAX COUNTY,0,1,5,5,2,1,14
HAMPTON,2,3,7,2,1,0,15
HANOVER COUNTY,1,7,4,7,4,1,24
HARRISONBURG,0,2,2,1,0,2,7
HENRICO COUNTY,4,17,22,10,4,6,63
HENRY COUNTY,1,0,1,4,1,1,8
HOPEWELL CITY,1,1,0,0,0,0,2
ISLE OF WIGHT,0,1,0,5,1,0,7
JAMES CITY COUNTY,0,0,2,3,2,1,8
KING & QUEEN COUNTY,0,1,0,3,0,0,4
KING GEORGE COUNTY,0,0,0,3,1,0,4
KING WILLIAM COUNTY,0,0,2,1,0,0,3
LANCASTER COUNTY,0,0,0,2,0,0,2
LEE COUNTY,1,1,9,3,1,1,16
LEXINGTON,0,1,0,0,0,0,1
LOUDOUN COUNTY,0,2,4,9,3,2,20
LOUISA COUNTY,1,0,1,6,2,0,10
LUNENBURG COUNTY,0,0,0,1,0,0,1
LYNCHBURG,0,4,5,3,0,0,12
MADISON COUNTY,0,1,0,0,1,0,2
MANASSAS CITY,0,1,2,1,1,1,6
MARTINSVILLE,0,1,2,0,0,0,3
MATHEWS COUNTY,0,1,0,1,2,0,4
MECKLENBURG COUNTY,0,0,2,7,2,1,12
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,,
,,,Page 36,,,,
