Name: “Table 1 of 1 on page 60 of 110”,Name: “Table 1 of 1 on page 60 of 110”,Name: “Table 1 of 1 on page 60 of 110”,Name: “Table 1 of 1 on page 60 of 110”,Name: “Table 1 of 1 on page 60 of 110”,Name: “Table 1 of 1 on page 60 of 110”
Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60
,,,,,
"Table 17. Homicide Deaths by Locality of Residence, 2005","Table 17. Homicide Deaths by Locality of Residence, 2005","Table 17. Homicide Deaths by Locality of Residence, 2005","Table 17. Homicide Deaths by Locality of Residence, 2005","Table 17. Homicide Deaths by Locality of Residence, 2005",
Locality of Death,Total,Rate*,Locality of Death,Total,Rate*
Accomack,0,0.0,Lancaster,0,0.0
Albemarle,2,2.2,Lee,1,4.2
Alexandria,6,4.4,Loudoun,8,3.1
Alleghany,0,0.0,Louisa,0,0.0
Amelia,0,0.0,Lunenburg,1,7.6
Amherst,0,0.0,Lynchburg,4,6.0
Appomattox,2,14.3,Madison,0,0.0
Arlington,2,1.0,Manassas,3,8.0
Augusta,5,7.2,Martinsville,1,6.7
Bath,0,0.0,Mathews,0,0.0
Bedford City,0,0.0,Mecklenburg,2,6.1
Bedford,0,0.0,Middlesex,0,0.0
Bland,0,0.0,Montgomery,2,2.4
Botetourt,2,6.2,Nelson,1,6.6
Bristol,2,11.5,New Kent,1,6.2
Brunswick,2,11.2,Newport News,17,9.4
Buchanan,2,8.1,Norfolk,55,23.7
Buckingham,0,0.0,Northampton,1,7.4
Buena Vista,0,0.0,Northumberland,1,7.8
Campbell,1,1.9,Norton,0,0.0
Caroline,1,3.9,Nottoway,2,12.9
Carroll,1,3.4,Orange,3,9.9
Charles City,1,14.0,Page,1,4.2
Charlotte,1,8.1,Patrick,1,5.2
Charlottesville,2,4.9,Petersburg,7,21.5
Chesapeake,16,7.3,Pittsylvania,4,6.5
Chesterfield,19,6.6,Portsmouth,23,23.0
Clarke,0,0.0,Powhatan,0,0.0
Colonial Heights,1,5.7,Prince Edward,2,9.8
Covington,0,0.0,Prince George,1,2.7
Craig,1,19.4,Prince William,11,3.2
Culpepper,1,2.4,Pulaski,0,0.0
Cumberland,1,10.7,Radford,0,0.0
Danville,7,15.2,Rappahannock,0,0.0
Dickenson,2,12.3,Richmond City,82,42.3
Dinwiddie,2,7.9,Richmond,1,11.0
Emporia,2,35.8,Roanoke City,15,16.2
Essex,0,0.0,Roanoke,2,2.3
Fairfax City,0,0.0,Rockbridge,1,4.7
Fairfax,24,2.4,Rockingham,1,1.4
Falls Church,0,0.0,Russell,1,3.5
Fauquier,1,1.5,Salem,0,0.0
Floyd,0,0.0,Scott,0,0.0
Fluvanna,1,4.0,Shenandoah,0,0.0
Franklin,0,0.0,Smyth,7,21.4
Frederick,0,0.0,Southampton,0,0.0
Fredericksburg,1,4.8,Spotsylvania,1,0.9
Galax,0,0.0,Stafford,3,2.5
Giles,0,0.0,Staunton,1,4.3
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006","Virginia Department of Health, Office of the Chief Medical Examiner ♦ October 2006",,
,,Page 54,Page 54,,
