Name: “Table 1 of 1 on page 40 of 110”,Name: “Table 1 of 1 on page 40 of 110”,Name: “Table 1 of 1 on page 40 of 110”
Table: 40,Table: 40,Table: 40
,,
,"Table 10. Accidental Deaths by Fatal Agency, 2005",
Fatal Agency,Total Cases,Autopsied
Aircraft,,
Passenger/Pilot in aircraft crash,6,5
Animal Related,,
"Animal related (bitten, kicked, trampled)",5,3
Asphyxia,,
Accidental ligature strangulation,5,2
Allergic reaction,1,0
Choked on foreign object,20,5
Crushed/suffocated,32,22
Drowned,89,57
Hanging,12,7
Drug Use,,
Ingested alcohol (ethanol),25,19
Ingested and/or injected illicit drug and/or prescription medications,475,423
Electrical,,
Contacted electrical current,10,8
Lightning,1,0
Exposure,,
Exposed to cold,15,8
Exposed to heat,4,3
Fall,,
Fall from all heights,352,51
Fire,,
"Scalded by hot water, hot oil, other agent",2,0
Smoke Inhalation (Carbon Monoxide),52,33
Victim of explosion,2,2
Victim of Fire,25,11
Machinery,,
Farm or industrial machinery accident,9,3
Motor Vehicle,,
Vehicular: ATV,10,0
Vehicular: auto/truck (driver),589,65
Vehicular: auto/truck (passenger),195,29
Vehicular: auto/truck (pedestrian),102,32
Vehicular: auto/truck (unknown),19,5
Vehicular: bicycle,17,3
Vehicular: boat,3,3
Vehicular: mo-ped,2,0
Vehicular: motorcycle,59,5
Vehicular: tractor/heavy construction equipment,9,3
Vehicular: train,6,4
Vehicular: other,20,4
Poisoned,,
Inhaled toxic agent (Carbon Monoxide - Other),6,3
