Offenses,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Bad Checks,204,291,402,397,350,359,300,1662,1555,1331,931,641,294,140,72,74,9003
Curfew/Loitering/Vagrancy,8,7,4,2,0,0,1,6,7,16,7,11,10,9,0,1,89
Disorderly Conduct,332,350,298,347,279,263,175,744,585,590,427,258,136,57,41,40,4922
Driving Under the Influence,580,810,944,1272,1145,1038,944,3764,3373,3514,3085,2029,1233,634,319,285,24969
Drunkenness,609,807,850,1266,991,903,742,2935,2968,4202,3957,2670,1409,712,358,318,25697
"Family Offenses, Nonviolent",16,29,33,35,41,36,36,166,152,186,102,62,28,6,2,5,935
Liquor Laws,1726,1790,1564,301,252,223,180,618,535,691,644,403,304,156,78,70,9535
Peeping Tom,3,5,1,3,1,1,3,16,14,19,9,4,1,3,0,0,83
Runaway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trespass to Real Property,634,540,485,382,325,313,238,746,777,797,765,444,268,108,60,59,6941
Conspiracy to Commit Group A Offense,6,9,11,5,5,2,0,10,3,2,0,5,2,1,1,0,62
Conspiracy to Commit Group B Offense,0,3,0,0,0,1,1,3,1,3,2,0,0,1,0,0,15
All Other Offenses,3237,3922,4190,4141,3674,3187,2926,11878,11020,10850,8142,4734,2506,1216,608,814,77045
Total Group B Offenses,7355,8563,8782,8151,7063,6326,5546,22548,20990,22201,18071,11261,6191,3043,1539,1666,159296
