Offenses,Under 10,10--12,13--14,15,16,17,Total
Murder/Nonnegligent Manslaughter,0,0,3,0,9,9,21
Negligent Manslaughter,0,0,0,0,1,1,2
Kidnaping/Abduction,0,0,8,3,10,6,27
Forcible Rape,2,9,23,2,13,15,64
Forcible Sodomy,4,22,31,12,7,7,83
Sexual Assault with an Object,1,5,5,2,2,1,16
Forcible Fondling,5,28,62,21,23,9,148
Robbery,1,11,34,57,90,99,292
Aggravated Assault,2,55,133,124,121,124,559
Simple Assault,60,656,1359,841,851,771,4538
Intimidation,6,61,120,66,45,47,345
Arson,20,51,54,33,29,15,202
Extortion/Blackmail,0,0,6,3,8,6,23
Burglary/Breaking & Entering,22,121,285,207,245,233,1113
Pocket Picking,1,2,11,18,14,12,58
Purse Snatching,0,2,0,4,0,0,6
Shoplifting,13,195,505,422,449,494,2078
Theft from Building,0,20,48,33,42,38,181
Theft from Coin-Operated Device,0,1,2,0,0,1,4
Theft from Motor Vehicle,0,9,45,48,55,51,208
Theft of Motor Vehicle Parts,0,2,3,3,10,14,32
All Other Larceny,18,191,570,391,467,460,2097
Motor Vehicle Theft,0,17,122,148,127,98,512
Counterfeiting/Forgery,0,1,9,17,30,63,120
False Pretenses/Swindle/Confidence Game,0,5,19,22,32,52,130
Credit Card/Teller Machine Fraud,0,0,6,0,7,15,28
Impersonation,0,0,3,1,6,3,13
Welfare Fraud,0,0,0,0,0,0,0
Wire Fraud,0,0,0,0,0,1,1
