Other Agencies,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Chesapeake Bay Bridge Tunnel 0 ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dept. Alcoholic Beverage Control ,,,228,0,0,0,0,0,0,0,0,0,0,8,1,71,1,1,0,0,141,0,0,4,2,0,6
Division of Capitol Police 0 ,,,23,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,15,0,0,0,0,0,0
Metro. Washington Airport Authority 11 ,,,176,0,0,0,0,0,0,6,0,0,3,124,2,4,1,0,0,36,5,0,0,0,0,0,1
Norfolk Airport Authority ,,,574,0,0,2,0,0,0,46,0,0,1,221,107,8,11,3,8,132,22,0,0,0,0,0,34
Richmond International Airport ,,,95,0,0,0,0,0,2,10,0,0,1,55,4,0,0,1,0,10,4,0,0,0,0,0,11
Southside VA Training Center ,,,64,0,0,0,0,1,0,3,0,0,0,39,14,0,1,0,0,7,0,0,0,0,0,0,0
Virginia Port Authority 10,,,262,0,0,6,18,0,25,172,0,0,0,26,4,2,1,1,0,14,1,0,0,0,0,0,0
"0–11 For those agencies without full year submission, footnote represents number of months of data submitted ",,,13,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,2,0,0,0,0,0,0,0,0
i Incomplete totals,,,,,,,,,,,,,,,,,,,,,,,,,,,
