,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
False Pretenses/Swindle/ Confidence Game,92,86,103,80,94,75,69,318,293,347,190,101,59,33,11,1,1952
Credit Card/Automatic Teller Machine Fraud,13,21,25,31,21,22,13,77,49,39,36,18,2,0,0,1,368
Impersonation,19,21,22,16,19,9,9,40,25,28,18,4,6,0,1,0,237
Welfare Fraud,1,0,1,0,2,7,0,12,15,20,12,1,1,2,7,4,85
Wire Fraud,1,0,1,0,1,2,0,1,2,0,1,3,0,0,0,0,12
Embezzlement,84,98,84,80,59,54,57,214,197,155,126,61,26,23,2,2,1322
Stolen Property Offenses,63,72,65,38,21,25,23,74,57,50,47,28,12,4,4,2,585
Destruct/Damage/Vandalism,478,282,212,198,183,151,116,422,353,348,193,133,59,23,12,21,3184
Drug/Narcotic Violations,2075,2054,1873,1553,1292,1086,892,3012,2295,2281,2167,1052,400,132,46,31,22241
Drug Equipment Violations,12,11,6,9,7,5,7,21,22,21,22,17,5,1,0,0,166
Incest,0,0,0,0,1,0,0,1,1,1,1,2,1,0,0,0,8
Statutory Rape,27,22,20,11,11,5,11,7,7,3,2,3,0,1,0,0,130
Porno./Obscene Material,2,2,1,0,3,3,1,3,0,2,5,3,3,0,0,1,29
Betting/Wagering,2,1,4,1,3,0,0,0,1,1,0,0,0,0,0,0,13
Operating/Promoting/Assisting Gambling,0,1,4,3,3,0,0,0,0,2,0,0,0,0,0,0,13
Gambling Equip. Violations,0,1,1,0,1,2,0,2,1,3,0,0,0,0,1,1,13
Sports Tampering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prostitution,1,4,10,9,13,13,13,53,99,116,67,26,15,5,3,2,449
Assisting/Promoting Prostitution,0,2,0,4,4,4,4,19,10,13,13,3,6,1,0,1,84
Bribery,0,0,1,1,0,0,0,1,1,2,0,4,1,0,0,1,12
Weapon Law Violations,236,216,181,192,191,129,122,355,312,280,302,162,112,80,53,51,2974
Total Group A Arrests,7055,6531,5784,5278,4614,3940,3409,13784,12576,12534,9767,5343,2557,1167,570,613,95522
