Colleges and Universities,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Christopher Newport University PD,,,104,0,0,1,0,0,0,4,0,0,1,72,0,0,1,0,0,26,2,0,0,0,0,0,0
Emory & Henry Campus Police,,,17,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,6,0,0,0,0,0,0,0
Ferrum College Police,,,100,0,0,0,0,0,0,10,0,0,4,61,1,0,2,0,0,19,2,0,0,0,0,0,1
George Mason University PD,,,652,0,0,2,2,2,3,53,2,0,22,446,6,1,5,0,1,138,40,0,0,0,0,0,4
Hampton University PD,,,302,0,1,1,1,3,3,40,1,1,9,181,2,2,7,1,0,59,15,0,0,0,0,0,3
James Madison University PD,,,366,0,0,3,1,0,8,11,3,1,6,196,4,5,9,0,5,116,46,0,0,0,0,0,0
Longwood College PD,,,187,0,0,0,0,0,1,4,1,0,0,136,2,0,1,0,0,42,0,0,0,0,0,0,0
Mary Washington College PD ,,,68,0,0,0,0,0,0,0,1,0,9,50,1,0,0,0,0,18,2,0,0,0,0,0,0
Norfolk State University PD ,,,384,0,0,0,1,12,3,25,1,0,69,231,20,4,8,1,0,73,6,0,0,0,0,0,7
N. Virginia Comm College PD ,,,171,0,0,0,0,1,1,11,0,0,1,118,1,4,2,0,1,37,1,0,0,0,0,0,0
Old Dominion Campus PD 0 ,,,175,0,0,0,1,1,1,9,0,0,3,104,8,0,0,0,1,41,6,0,0,0,0,0,2
Radford University PD 11 ,,,227,0,0,1,0,0,3,22,3,0,7,104,2,1,11,2,3,72,26,0,1,0,0,0,1
Thomas Nelson Comm Col PD ,,,40,0,0,0,0,0,0,6,0,0,0,15,2,1,1,1,1,10,3,0,0,0,0,0,0
University of Richmond PD ,,,238,0,0,0,0,0,1,7,1,0,2,82,3,3,3,0,0,138,19,0,1,0,0,0,0
University of Virginia PD ,,,659,0,0,3,6,5,9,59,1,0,10,383,3,1,19,1,0,209,42,0,1,0,0,0,5
UVA's College at Wise PD ,,,9,0,0,0,0,0,0,1,0,0,0,5,0,1,1,0,0,0,3,0,0,0,0,0,0
VA Commonwealth University PD ,,,892,0,3,2,0,5,11,77,3,0,12,544,6,7,11,0,5,26,195,0,1,0,0,0,24
Virginia Tech Police Department 0 ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA Western Comm. College PD ,,,23,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0
VMI Post Police ,,,38,0,0,0,0,0,0,3,0,0,0,33,0,0,0,0,0,2,0,0,0,0,0,0,0
Virginia State Univ. Police ,,,321,0,1,1,2,3,9,48,1,0,4,145,3,0,9,0,2,86,31,0,0,2,0,0,10
William & Mary College PD ,,,496,0,2,2,0,2,4,31,3,0,3,319,0,0,5,0,0,121,17,0,0,0,0,0,5
"0–11 For those agencies without full year submission, footnote represents number of months of data submitted ",,,,,,,,,,,,,,,,,,,,,,,,,,,
i Incomplete totals,,,,,,,,,,,,,,,,,,,,,,,,,,,
