Name: “Table 1 of 1 on page 19 of 22”,Name: “Table 1 of 1 on page 19 of 22”,Name: “Table 1 of 1 on page 19 of 22”
Table: 19,Table: 19,Table: 19
,,
,APPENDIX C,
LOCALITY,MEDICAL EXAMINER DISTRICT (OCME),HEALTH PLANNING REGION
Franklin City,Tidewater,5. Eastern
Franklin County,Western,3. Southwest
Frederick County,Northern,1. Northwest
Fredericksburg City,Central,1. Northwest
Galax City,Western,3. Southwest
Giles County,Western,3. Southwest
Gloucester County,Central,5. Eastern
Goochland County,Central,4. Central
Grayson County,Western,3. Southwest
Greene County,Central,1. Northwest
Greensville County,Central,4. Central
Halifax County,Central,4. Central
Hampton City,Tidewater,5. Eastern
Hanover County,Central,4. Central
Harrisonburg City,Western,1. Northwest
Henrico County,Central,4. Central
Henry County,Western,3. Southwest
Highland County,Western,1. Northwest
Hopewell City,Central,4. Central
Isle of Wight County,Tidewater,5. Eastern
James City County,Central,5. Eastern
King and Queen County,Central,5. Eastern
King George County,Central,1. Northwest
King William County,Central,5. Eastern
Lancaster County,Central,5. Eastern
Lee County,Western,3. Southwest
Lexington City,Western,1. Northwest
Loudoun County,Northern,2. Northern
Louisa County,Central,1. Northwest
Lunenburg County,Central,4. Central
Lynchburg City,Western,3. Southwest
Madison County,Northern,1. Northwest
Manassas City,Northern,2. Northern
Manassas Park City,Northern,2. Northern
Martinsville City,Western,3. Southwest
Mathews County,Central,5. Eastern
Mecklenburg County,Central,4. Central
Middlesex County,Central,5. Eastern
Montgomery County,Western,3. Southwest
Nelson County,Central,1. Northwest
New Kent County,Central,4. Central
Newport News City,Tidewater,5. Eastern
Norfolk City,Tidewater,5. Eastern
Northampton County,Tidewater,5. Eastern
Northumberland County,Central,5. Eastern
Nottoway County,Central,4. Central
Virginia State Child Fatality Review Team - June 2009,Virginia State Child Fatality Review Team - June 2009,13
