Complaints - Criminal,Total
Alcohol Related,95
Arson,0
Assault on Family,50
Assault on Non Family,67
Assault Unknown Rel.,1
Bad Check,92
Bomb Device,0
Bomb Threat,4
Bribery,0
Burglary of Business,11
Burglary of Residence,12
Burglary of Other,2
Child Abuse/Neglect,18
Counterfeiting,2
Destruction of Property,96
Drugs,146
Extortion/Blacksmail,0
Unknown 9-1-1 Calls,227
Forgery,12
Fraud,30
Gambling,0
Harassment,71
Homicide,1
Juvenile Related,115
Kidnapped/Abduction,0
Larceny,205
Littering/Trash,5
Noise Complaints,114
Ordinance Violation,17
Robbery,0
Paper Services (Arrests),330
Protective Orders Served,63
Protective Orders Viol.,15
Prowlers,7
Pursuits,0
Sexual Assault,4
Sexual Offense,9
Threatening,35
Trespassing,137
Weapon Viol.,17
Total Criminal,2010
