Criminal Charges,Total
Abduction,2
Alcohol - All Other,4
Alcohol - Unlawful Possess.,50
Arson,0
Assault & Battery - Police,0
Assault & Battery - Non Fam.,47
Assault & Battery - Family,55
Assault (Aggravated),14
Auto Theft,7
Breaking and Entering,9
Contempt/Probation Viol.,75
Conspiracy to Committ Felony,0
D.I.P.,78
D.U.I.,92
Destruction of Property,16
Disorderly Conduct,16
Drugs,143
Embezzlement,4
Forgery,15
Gambling,0
Habitual Offender,5
Homicide,1
Larceny,57
Larceny by Check,95
Miscellaneous,221
Noise Violation,0
Obstructing Justice,12
Possess Stolen Property,4
Possess Tobacco,0
Protective Order Viol.,13
Robbery,1
Runaway,0
Sexual Assault,8
Sexual Offenses (non force),1
Stalking,2
Threats to Bomb,0
Threats by Mail/Telephone,0
Trespassing,55
Weapons Violations,14
Total Arrests,1116
