Complaints - Non Criminal,Total
Accidental Death/Non Traffic,0
Accidental Injury/Non Traffic,12
Accidental Property Damage,0
Alarms,262
Animal Calls,490
Assist Citizens,174
Assist Other Agencies,217
Civil Disputes,80
Death Inv.,14
Disputes/Family,128
Disputes/Non Family,137
Disputes/Unknown Rel.,5
Emergency Man/Haz Mat,1
Fire/Rescue,187
Inoperative Vehicles,57
Locked Keys in Vehicle,361
Mental Health,73
Miscellaneous Calls,197
Missing Persons,18
Property Rep. Lost/Found,66
Suicide/Attempted,4
Suspicious Incidents/Persons,427
Traffic Complaints,779
Welfare Checks,76
Window/Door Open,44
Parking Complaint,21
Total Non Criminal,3809
