Month ,Stolen ,Recovered ,Percent Recovered
January ,"24,420,526","3,947,936",16.2
February,"19,830,490","2,707,339",13.7
March ,"25,194,522","3,846,599",15.3
April ,"24,100,237","3,508,379",14.6
May ,"22,477,246","3,742,019",16.6
June ,"25,623,146","3,695,236",14.4
July ,"26,299,433","3,830,467",14.6
August ,"27,022,099","4,447,756",16.5
September ,"23,587,940","3,825,376",16.2
October ,"21,775,298","3,413,600",15.7
November ,"21,769,617","3,554,290",16.3
December,"21,498,413","3,240,310",15.1
TOTAL ,"$283,598,967","$43,759,307",15.4
