Offenses,Number of Arrests,Percent Distribution,"Rate per 100,000 Inhabitants"
Murder/Nonnegligent Manslaughter  ,260,0.18,3.18
Negligent Manslaughter,15,0.01,0.18
Kidnaping/Abduction  ,1077,0.76,13.16
Forcible Rape,316,0.22,3.86
Forcible Sodomy  ,176,0.12,2.15
Sexual Assault with an Object,121,0.09,1.48
Forcible Fondling,664,0.47,8.11
Robbery,1683,1.19,20.56
Aggravated Assault  ,4462,3.15,54.51
Simple Assault  ,37690,26.64,460.43
Intimidation  ,1314,0.93,16.05
Arson,306,0.22,3.74
Extortion/Blackmail  ,48,0.03,0.59
Burglary/Breaking & Entering  ,4430,3.13,54.12
Pocket Picking,324,0.23,3.96
Purse Snatching,20,0.01,0.24
Shoplifting  ,15085,10.66,184.28
Theft from Building,959,0.68,11.72
Theft from Coin-Operated Machine or Device,25,0.02,0.31
Theft from Motor Vehicle,467,0.33,5.7
Theft of Motor Vehicle Parts or Accessories  ,112,0.08,1.37
All Other Larceny  ,14411,10.19,176.05
Motor Vehicle Theft  ,822,0.58,10.04
Counterfeiting/Forgery,2221,1.57,27.13
False Pretenses/Swindle/Confidence Game,2980,2.11,36.4
Credit Card/Automatic Teller Machine Fraud  ,425,0.3,5.19
Impersonation  ,956,0.68,11.68
Welfare Fraud  ,88,0.06,1.08
Wire Fraud,3,0,0.04
Embezzlement  ,1516,1.07,18.52
Stolen Property Offenses,942,0.67,11.51
Destruction/Damage/Vandalism of Property,4431,3.13,54.13
Drug/Narcotic Violations,37920,26.81,463.24
Drug Equipment Violations  ,429,0.3,5.24
Incest,5,0,0.06
Statutory Rape,105,0.07,1.28
Pornography/Obscene Material  ,203,0.14,2.48
Betting/Wagering  ,26,0.02,0.32
Operating/Promoting/Assisting Gambling  ,14,0.01,0.17
Gambling Equipment Violations,5,0,0.06
Sports Tampering  ,0,-- ,--
Prostitution,539,0.38,6.58
Assisting or Promoting Prostitution,286,0.2,3.49
Bribery,10,0.01,0.12
Weapon Law Violations,3562,2.52,43.51
TOTAL  ,141453,100,1728.01
