COUNTY POLICE & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Albemarle County PD ,101575,3490.03,3545,4,12,23,52,18,56,987,12,6,238,1215,53,35,351,24,11,853,333,1,9,0,4,0,59
State Police ,,,48,0,0,0,0,0,1,2,0,0,0,3,0,1,10,0,0,0,29,0,0,0,0,0,3
Arlington County PD ,220565,3539.99,7808,5,28,31,76,118,153,928,4,6,287,3491,182,176,1097,69,56,949,826,1,4,3,34,0,52
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County PD ,322388,5276.56,17011,10,46,52,200,149,185,5703,73,5,1654,5106,292,202,1545,115,61,3380,2056,11,30,1,62,1,433
State Police ,,,178,0,0,0,0,0,12,5,0,0,0,5,3,10,30,2,0,3,125,0,0,0,0,0,13
Fairfax County PD ,1072656,3273.64,35115,15,145,107,238,344,383,7246,70,12,1068,12927,801,391,2565,253,78,7342,5033,7,93,14,85,2,504
State Police ,,,295,0,0,2,0,0,5,20,0,0,0,17,7,10,57,1,4,8,172,0,0,0,0,0,4
Henrico County PD ,314881,4854.21,15285,14,49,20,22,226,298,2817,56,3,1185,6285,360,249,1180,117,50,2577,1416,1,3,1,107,0,222
State Police ,,,130,0,0,0,0,0,6,4,0,0,0,14,5,2,31,1,0,0,65,0,0,0,0,0,30
James City County PD ,69546,3381.93,2352,1,13,14,23,15,42,767,9,0,152,796,17,55,272,12,0,393,210,0,3,0,1,0,40
State Police ,,,39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1
Prince George County PD ,35915,3051.64,1096,0,0,5,23,8,19,251,1,0,83,331,31,9,70,5,2,192,162,1,3,0,0,0,28
State Police ,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,7,0,0,0,0,0,0
Prince William County PD ,412661,3968.63,16377,2,73,44,185,214,368,3783,56,9,925,5658,355,218,1192,99,122,2237,2116,16,23,1,21,0,213
State Police ,,,164,0,3,1,0,0,7,5,1,0,0,8,4,5,41,0,1,6,94,0,0,0,0,0,8
Roanoke County PD ,85126,3792.02,3228,2,19,18,49,12,78,1055,1,1,286,944,38,37,306,20,9,373,601,3,4,0,3,0,64
State Police ,,,47,0,0,2,1,0,3,3,0,0,0,3,0,3,16,0,0,0,17,0,0,0,0,0,1
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
