,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Murder/Nonnegligent Manslaughter ,9,19,19,19,11,21,15,33,25,31,20,15,9,4,1,2,253
Negligent Manslaughter ,0,0,1,3,0,1,1,0,2,0,3,1,2,0,1,0,15
Kidnaping/Abduction ,32,31,46,47,43,59,59,226,156,95,91,68,38,21,9,10,1031
Forcible Rape ,16,14,8,13,12,14,15,42,38,32,24,29,15,9,4,1,286
Forcible Sodomy ,10,6,5,2,1,1,6,17,13,14,14,18,8,3,4,5,127
Sexual Assault with an Object ,7,4,3,6,1,2,2,12,12,13,6,10,11,4,3,6,102
Forcible Fondling ,22,18,17,14,18,13,12,63,72,66,64,63,35,33,20,37,567
Robbery ,143,183,156,105,103,68,64,230,131,72,63,63,25,9,2,4,1421
Aggravated Assault ,168,206,209,208,212,221,174,695,554,364,365,297,253,130,55,38,4149
Simple Assault ,1042,1091,1251,1427,1503,1429,1298,5804,4775,3593,3376,2909,2086,1093,517,438,33632
Intimidation ,49,49,44,42,47,47,50,170,172,115,128,104,81,36,20,11,1165
Arson ,21,10,13,7,6,4,6,29,18,14,9,14,11,3,2,1,168
Extortion/Blackmail ,2,2,0,2,0,3,2,6,6,1,1,2,6,1,0,2,36
Burglary/Breaking and Entering ,418,334,306,246,205,165,163,616,398,242,203,185,107,34,14,6,3642
Pocket Picking ,17,25,28,18,22,9,16,34,28,27,17,21,14,7,4,1,288
Purse Snatching ,1,2,0,0,1,0,1,3,1,2,3,1,0,1,0,2,18
Shoplifting ,1108,1014,869,736,660,557,504,2123,1485,1048,928,836,649,392,157,142,13208
Theft from Building ,54,55,48,47,47,35,36,116,101,65,60,63,35,20,5,4,791
Theft from Coin-Operated Machine or Device ,0,1,0,0,0,1,0,5,0,1,6,5,2,2,0,0,23
Theft from Motor Vehicle ,35,59,25,34,20,14,15,59,47,19,27,17,10,6,2,2,391
Theft of Motor Vehicle Parts ,5,12,4,5,8,7,3,17,13,10,11,7,3,1,0,0,106
All Other Larceny ,910,860,789,675,565,512,549,2104,1545,998,971,895,645,332,140,110,12600
Motor Vehicle Theft ,36,38,35,39,33,24,28,137,89,53,70,40,30,13,5,4,674
Counterfeiting/Forgery ,60,96,117,94,83,94,91,432,402,237,179,151,80,40,13,11,2180
False Pretenses/Swindle/Confidence Game ,65,86,94,116,115,98,101,534,515,332,314,213,149,93,47,37,2909
Credit Card/Automatic Teller Machine Fraud ,15,24,21,14,13,13,30,95,59,36,44,20,14,2,3,1,404
Impersonation ,41,62,88,33,36,34,31,166,146,99,67,56,38,13,4,2,916
Welfare Fraud ,0,0,2,2,3,2,3,18,15,18,11,8,1,4,0,1,88
Wire Fraud ,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3
Embezzlement ,68,92,97,102,82,73,62,229,192,134,143,92,55,37,26,5,1489
Stolen Property Offenses ,76,61,54,52,54,47,37,131,89,57,55,49,26,15,5,2,810
Destruct/Damage/Vandalism ,238,254,231,241,206,185,157,682,398,271,232,198,139,69,33,27,3561
Drug/Narcotic Violations ,2637,2778,2651,2395,2257,2069,1619,6623,4043,2492,1905,1537,1158,618,230,104,35116
Drug Equipment Violations ,22,16,17,19,29,18,20,81,69,30,31,22,10,7,5,1,397
Incest,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3
Statutory Rape ,24,24,8,5,5,2,1,9,3,2,2,1,1,1,1,0,89
Porno./Obscene Material ,13,7,10,5,9,6,11,29,20,10,16,16,12,5,1,5,175
Betting/Wagering ,2,1,1,0,1,0,3,2,4,0,1,1,1,1,1,1,20
Operating/Promoting/Assisting Gambling ,0,0,0,0,0,0,0,0,0,0,2,3,5,1,1,2,14
Gambling Equip. Violations ,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,5
Sports Tampering ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prostitution ,8,11,20,26,10,27,16,87,89,70,64,51,32,15,6,7,539
Assisting/Promoting Prostitution ,3,7,9,13,9,9,8,47,49,29,33,27,20,13,3,6,285
Bribery,0,0,0,0,0,0,0,3,0,3,2,1,1,0,0,0,10
Weapon Law Violations ,160,144,165,178,210,176,157,613,364,241,183,188,155,132,75,85,3226
TOTAL ,7537,7696,7461,6991,6641,6060,5367,22322,16139,10937,9745,8300,5972,3222,1419,1123,126932
