Relationship of Victim to Offender (may include multiple relationships),Total
Spouse,99
Common-Law Spouse,7
Parent,6
Sibling,181
Child,331
Grandparent,3
Grandchild,79
In-Law,16
Stepparent,25
Stepchild,141
Stepsibling,33
Other Family Member,349
Acquaintance,1260
Friend,285
Neighbor,99
Babysittee (the baby),27
Boyfriend/Girlfriend,228
Child of Boyfriend/Girlfriend,55
Homosexual Relationship,5
Ex-Spouse,9
Employee,20
Employer,7
Otherwise Known,492
Stranger,279
Unknown,740
Total Number of Victims,5093
