OTHER AGENCIES,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
"Alcoholic Beverage Control, Department of ",,,137,0,0,0,0,0,0,3,0,0,0,29,0,35,13,5,1,1,54,0,0,0,1,0,3
"Capitol Police, Division of ",,,74,0,0,0,0,0,0,8,0,0,0,31,0,0,1,0,0,38,2,0,0,0,0,0,0
"Conservation & Recreation, Department of ",,,77,0,0,0,0,0,0,1,0,0,1,61,0,1,1,0,0,7,7,0,0,0,0,0,1
"Game & Inland Fisheries, Department of ",,,374,0,0,0,0,0,4,4,0,0,0,18,0,0,18,0,2,11,144,0,0,0,0,0,198
"Motor Vehicles, Department of ",,,430,0,0,0,0,0,0,0,0,1,0,3,8,345,46,5,36,1,0,0,0,0,0,3,0
Metropolitan Washington Airports Authority ,,,995,0,0,0,2,1,0,35,0,0,1,420,71,2,11,1,3,139,27,0,0,0,0,0,299
Norfolk Airport Authority ,,,100,0,0,0,0,0,0,11,0,0,0,66,4,0,2,1,0,6,2,0,0,0,0,0,11
Richmond International Airport ,,,26,0,0,0,0,0,0,1,0,0,0,3,1,0,2,0,0,6,5,0,0,0,0,0,9
Southside Virginia Training Center ,,,66,0,0,0,0,0,1,48,1,0,0,12,0,0,0,0,0,5,1,0,0,0,0,0,0
Virginia Port Authority ,,,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
