Drug Type,Under 10,10--12,13--14,15,16,17,18,19,20,21,22,23,24,25 29,30 34,35 39,40 44,45 49,50 54,55 59,60 64,65 & Over,Total
Crack Cocaine ,0,0,1,2,1,7,32,50,66,54,76,78,76,441,332,234,196,179,180,79,36,13,2133
Cocaine ,0,0,2,3,3,10,30,66,67,82,64,83,81,463,370,219,194,163,112,57,33,4,2106
Hashish ,0,0,0,0,0,1,0,1,2,2,2,1,0,4,2,1,1,1,4,0,0,0,22
Heroin ,0,0,0,1,1,6,13,24,36,37,53,53,57,259,177,134,106,75,56,37,9,7,1141
Marijuana ,3,27,259,350,631,1000,2150,2141,1987,1751,1616,1418,1066,3831,2025,1114,782,622,476,286,91,37,23663
Morphine ,0,0,0,0,4,3,2,2,3,3,1,3,4,31,11,15,17,21,9,4,0,0,133
Opium ,2,0,0,1,1,1,2,5,2,2,5,1,4,16,4,11,8,4,4,2,8,0,83
Other Narcotic ,0,1,9,14,16,12,30,52,91,61,71,70,63,354,262,221,179,116,85,40,21,18,1786
LSD ,0,0,0,0,0,2,0,3,2,0,5,0,0,2,0,2,1,0,0,0,0,0,17
PCP ,0,0,0,0,0,0,1,0,3,5,2,0,6,20,23,14,4,9,2,0,0,0,89
Other Hallucinogens ,0,0,0,1,4,3,10,7,8,8,12,5,5,21,9,0,4,2,0,1,0,0,100
Amphetamines/Methamphetamines ,0,0,5,2,4,4,15,28,33,24,24,28,25,127,129,107,81,46,23,11,3,2,721
Other Stimulants ,0,1,6,4,5,4,4,8,8,3,5,3,5,17,8,14,5,9,1,8,3,2,123
Barbiturates ,0,0,0,0,0,0,0,0,2,3,1,1,1,11,7,4,5,2,1,1,0,0,39
Other Depressants ,0,0,2,1,2,3,8,5,9,5,7,5,6,38,21,9,10,6,13,6,1,2,159
Other Drugs ,0,0,16,9,11,26,46,67,59,64,45,60,32,200,132,88,80,76,37,18,9,4,1079
Unknown Drug Type ,0,6,27,49,103,132,294,319,273,291,268,260,188,788,531,305,232,206,155,68,16,15,4526
TOTAL ,5,35,327,437,786,1214,2637,2778,2651,2395,2257,2069,1619,6623,4043,2492,1905,1537,1158,618,230,104,37920
