Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,3,0,0,0,6,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,9,2,26,1,0,0,8,0,0,0,5,0,1,0,57,1,5,0,0,0,0,0,3,0,22,1,0,0,0,0,0,0,161,6
Manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0
Kidnaping,2,0,0,2,3,1,0,0,13,0,33,0,2,0,0,0,6,0,0,0,2,0,1,0,7,0,7,0,2,0,24,0,10,2,10,0,0,0,18,1,26,0,4,0,1,0,57,2,62,6,1,0,17,1,0,0,47,2,2,0,70,0,16,0,2,0,4,0,35,2,75,3,1,0,8,0,1,0,569,22
"Sex Offenses, Forcible",4,0,2,1,9,0,2,0,4,0,21,4,5,1,1,0,7,1,1,0,1,0,0,0,3,0,7,0,2,0,19,4,10,0,6,0,0,0,22,1,22,4,0,0,0,0,23,9,38,10,3,0,12,4,1,1,21,2,8,2,38,2,20,0,4,1,10,1,13,0,80,22,5,0,1,0,2,0,427,70
Robbery,47,7,2,0,9,0,0,0,20,1,31,7,3,0,0,0,24,0,0,0,0,0,1,0,3,0,8,0,0,0,60,16,16,1,14,1,0,0,11,0,20,9,0,0,4,0,61,14,87,39,0,0,28,4,0,0,49,2,2,1,157,20,37,3,2,0,6,1,8,1,120,20,1,2,2,4,2,0,835,153
Aggravated Assault,49,1,2,0,16,0,1,0,46,0,133,11,22,4,8,0,34,4,9,0,7,0,1,0,7,0,46,0,12,0,108,12,29,2,48,2,0,0,33,2,40,3,4,0,16,0,243,27,152,15,4,0,80,6,4,1,73,2,21,0,356,14,176,10,4,0,18,4,63,10,199,8,27,1,3,0,13,0,2107,139
Simple Assault/Intimidation,344,34,107,6,114,7,8,0,364,3,1129,40,97,40,52,4,663,6,51,4,47,1,36,1,117,9,245,7,86,5,1071,171,293,12,244,12,8,1,738,15,198,20,37,1,202,6,1512,127,763,11,30,2,444,12,44,8,1109,12,118,5,1919,225,1151,105,171,42,213,11,635,13,2712,366,188,18,111,7,196,18,17567,1387
Arson,3,0,0,2,0,0,0,0,1,0,4,0,1,2,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,3,10,0,0,1,0,0,0,3,1,1,0,0,0,0,2,9,26,7,2,0,0,2,1,0,0,1,0,0,0,9,2,11,1,0,0,1,0,4,3,9,6,0,0,0,0,1,0,75,60
Extortion/Blackmail,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,18,5
