Name,Hotline,Office,Fax,Mailing Address (Street),Mailing Address (City/State/Zip),Web Site,Service Area,Funding from Office of Family Violence
Alexandria Domestic Violence Program,703-838-4911,703-838-4911,703-838-4976,"421 King St., Suite","400 Alexandria, VA 22314",http:--www.alexwomen.com,Alexandria,"$168,907"
Avalon: A Center for Women and Children,757-258-5051,757-258-5022,757-258-9523,P.O. Box 1079,"Williamsburg, VA 23187",http:--www.avaloncenter.org,"James City County, Williamsburg, York County","$155,504"
Bedford Domestic Violence Services,540-587-0970,540-587-0995,540-586-1687,,"Bedford, VA 24523",www.co.bedford.va.us-Res-Social-Domestic-index.htm,Bedford County,"$120,652"
Citizens Against Family Violence,276-632-8701,276-632-8701,276-632-0529,P.O. Box 352,"Martinsville, VA 24114",http:--www.cafv.info-index_english.html,"Henry County, Patrick County, City of Martinsville","$156,737"
Council on Domestic Violence for Page County,540-743-4414,540-743-4730,540-843-3251,216 West Main St.,"Luray, VA 22835",http:--www.choicesofpagecounty.org,"Luray, Page County, Shenandoah, Stanley","$124,368"
Doorways for Women and Families,703-237-0881,703-522-8858,703-237-1146,P.O. Box 1285,"Arlington, VA 22210",http:--www.doorwaysva.org,Arlington County,"$104,590"
Domestic Violence Emergency Services (DOVES),888-403-6837,434-799-3683,434-799-0659,P.O. Box 2381,"Danville, VA 24541",None available,"Danville, Halifax, Lunenburg County, Mecklenburg County, Pittsylvania County, South Boston","$134,385"
Eastern Shore Coalition Against Domestic Violence,877-787-1329,757-787-1329,757-787-3829,P.O. Box 3,"Onancock, VA 23417",http:--www.esva.net-~escadv-,"Accomack County, Northampton County, Onancock","$124,989"
Fairfax-Falls Church Community Services Board,703-435-4940,703-435-4948,703-435-2418,"12011 Government Center Pkwy., Suite 836","Fairfax, VA 22035",None available,"Fairfax, Fairfax County, Falls Church","$24,331"
Family Crisis Services (Clinch Valley Community Action),800-390-9484,276-988-5583,276-988-4041,P.O. Box 188,"North Tazwell, VA 24630",http:--www.clinchvalleycaa.org,Tazwell County,"$78,845"
Family Crisis Support Services,800-877-3416,276-679-7240,276-679-1820,,"Norton, VA 24273",http:--www.family-crisis.com-home.html,"Wise County, Dickenson County, Lee County, City of Norton","$167,572"
Family Resource Center,800-613-6145,276-625-0219,276-228-7152,P.O. Box 612,"Wytheville, VA 24383",http:--www.frc-inc.org,"Bland County, Carroll County, Galax, Grayson County, Smythe County, Wythe County","$197,871"
First Step,800-578-3433,540-434-0295,540-433-4074,129 Franklin St.,"Harrisonburg, VA 22801",None available,"Harrisonburg, Rockingham County","$164,518"
Franklin County Family Resource Center,540-483-1234,540-483-5088,540-483-1368,P.O. Box 188,"Rocky Mount, VA 24151",http:--www.franklincountyva.org-shelter,"Franklin County, Rocky Mount","$147,606"
The Genieve Shelter,800-969-4673,757-925-4365,757-925-2053,P.O. Box 1585,"Suffolk, VA 23439",None available,"Franklin, Isle of Wight County, Smithfield, Southampton County, Suffolk, Surry County","$125,650"
Hanover Safe Place,888-370-7233,804-752-2728,804-752-2738,629A N. Washington,"Highway Ashland, VA 23005",http:--www.hanoversafeplace.com,"Hanover County, Town of Ashland","$105,333"
"The Haven Shelter and Services, Inc.",800-224-2836,804-333-1099,804-333-1150,P.O. Box 1267,"Warsaw, VA 22572",http:--www.havenshelter.org-index.html,"Essex County, Lancaster County, Northumberland County, Richmond County, Westmoreland County","$125,933"
Help and Emergency Response,757-485-3384,757-485-1445,757-485-0883,P.O. Box 2187,"Portsmouth, VA 23702",http:--www.hershelter.com-,"Portsmouth, Chesapeake, Norfolk, Suffolk, Virginia Beach","$146,481"
Hope House of Scott County,888-250-4325,276-386-1373,276-386-1252,P.O. Box 1992,"Gate City, VA 24251",http:--www.beautyflies.com-hopehouse-index.htm,"Buchanan County, Dickenson County, Lee County, Norton, Russell County, Scott County, Wise County","$106,172"
The James House,804-458-2840,804-458-2704,804-458-7823,1016 Maplewood Ave.,"Hopewell, VA 23860",http:--www.thejameshouse.org,"Colonial Heights, Hopewell, Petersburg, Prince George, Dinwiddie, southern Chesterfield","$50,801"
"The Laurel Shelter, Inc.",804-694-5890,804-695-5760,804-694-5191,P.O. Box 23,"Gloucester, VA 23061",http:--www.laurelshelterinc.org-index.htm,"Gloucester County, Mathews County, Middlesex County","$75,273"
Loudoun Abused Women’s Shelter (LAWS),703-777-6552,703-771-9020,703-771-7865,105 E. Market St.,"Leesburg, VA 20176",http:--www.lcsj.org,"Leesburg, Loudoun County","$154,512"
"New Directions Center, Inc.",800-564-2836,540-885-7273,540-885-0686,P.O. Box 3069,"Staunton, VA 24402",http:--www.newdircenter.com,"Augusta County, Highland County, Staunton, Waynesboro","$167,831"
"People, Inc.’s Domestic Violence Program",877-697-9444,276-935-4747,276-628-2931,Box 220,"Lebanon, VA 24266",http:--www.peopleincorp.org-,"Buchanan County, Russell County","$127,200"
Project Hope at Quin Rivers,877-966-4357,804-966-5020,804-966-5135,P.O. Box 660,"Quinton, VA 23241",http:--www.quinriversagency.org,"Charles City County, King & Queen County, King William County, New Kent County","$136,947"
