Adult Criminal Charge,311,312,313,314,315,Totals
Homicide,0,0,0,0,0,0
Rape,2,0,0,0,0,2
Robbery,0,1,0,2,0,3
Aggravated Assault,4,17,7,6,2,36
Burglary,4,0,3,3,4,14
Larceny,5,15,9,4,6,39
Auto Theft,2,0,2,0,1,5
Sex Offense (except forcible rape),1,1,2,5,1,10
Simple Assault,30,76,37,37,27,207
Drug Offenses,47,90,51,14,22,224
DUI,33,61,34,49,19,196
Vandalism/Destruction of Property,7,16,4,5,4,36
Fraud,10,10,13,4,3,40
Alcohol Offenses,22,69,49,12,10,162
Weapons Violations,5,4,5,4,0,18
Other,158,276,175,65,89,763
Totals,330,636,391,210,188,"1,755"
