Activities,2003,2004,% Change
Accident Reports Provided,"4,141","5,001",+20.77
Accident Reports Processed,"3,343","3,246",-2.90
Criminal History Requests,"7,156","4,585",-35.93
Drivers License Checks,"7,447","3,397",-54.38
Wanted Person Checks,811,954,+17.63
"CCRE Forms Processed, Criminal","13,164","13,405",+1.83
"CCRE Forms Processed, Traffic","1,712","2,060",+20.33
Traffic Summonses Processed,"47,405","57,268",+20.81
Driver Abstracts Requested from DMV,"7,447","3,397",-54.38
Offense Reports Provided,"1,043","1,140",+9.30
Parking Tickets Issued,"3,335","2,008",-39.79
Parking Tickets Paid,32,18,-43.75
Taxi Permits Issued,26,36,+38.46
